Manager,Ranking
J. Heynckes,15162
Tito Vilanova,14387
José Mourinho,14086
D. Simeone,12197
A. Ferguson,11554
J. Klopp,11468
Vanderlei Luxemburgo,10496
Jorge Jesus,10370
Tite,10240
Cuca,9894
Ho-Gon Kim,9821
A. Wenger,9800
C. Ancelotti,9706
M. Pellegrini,9663
Sun-Hong Hwang,9597
Sun-Hong Hwang,9597
André Villas-Boas,9528
Rafael Benítez,9064
Abel Braga,9052
R. Mancini,8962
Ney Franco,8682
V. Petković,8644
B. Rodgers,8532
Yong-Soo Choi,8508
Nélson Baptista,7878
M. Allegri,7529
A. Kocaman,7186
A. Pardew,7081
S. Lewandowski,7050
G. Hiddink,6961
D. Moyes,6900
Bong-Gil Kim,6842
A. Stramaccioni,6828
Muricy Ramalho,6773
B. Labbadia,6766
Hossam El Badry,6753
M. Lucescu,6736
Juan Ignacio Martínez,6696
F. Gillot,6626
W. Mazzarri,6430
F. Terim,6378
R. Gareca,6375
R. Garde,6220
Ernesto Valverde,6205
P. Montanier,6183
M. Slomka,6164
G. Martino,6118
M. Preud'homme,6060
Unai Emery,6013
L. Favre,5999
Pepe Mel,5934
L. Spalletti,5874
Kyung-Hoon Park,5864
Gilson Kleina,5810
Seong-Hyo Yoon,5694
F. de Boer,5571
E. Baup,5550
F. Guidolin,5547
D. Advocaat,5538
K. Berdyev,5502
Oswaldo de Oliveira,5500
A. Conte,5457
Juande Ramos,5445
Jin-Han Choi,5354
G. Alfaro,5344
C. Streich,5341
M. Markevych,5316
R. Garcia,5293
V. Montella,5290
J. van den Brom,5279
M. Bielsa,5274
H. Moriyasu,5239
C. Galtier,5237
P. Vrba,5106
Celso Roth,5100
N. Lennon,5067
Heung-Sil Lee,5057
K. Jarolím,5010
Roberto Martínez,4950
M. Been,4941
M. Vucetich,4937
Alexandre Gallo,4900
S. Clarke,4900
Paco Jémez,4885
Luis García,4837
Dorival Júnior,4800
Míchel,4777
M. Petrović,4740
J. Falcioni,4735
Y. Higuchi,4645
José Peseiro,4622
M. Laudrup,4600
S. Allardyce,4600
L. Slutsky,4563
A. Veh,4539
L. Reghecampf,4496
M. Lippi,4450
Manolo Jiménez,4439
C. Hughton,4400
Geninho,4400
H. Stevens,4383
Marcelo Oliveira,4350
M. Yakin,4342
D. Hecking,4317
R. Girard,4305
M. Jol,4300
M. Đukić,4289
T. Fink,4272
T. Fink,4272
Paulo Fonseca,4238
C. Puel,4210
Z. Verdenik,4201
T. Pulis,4200
R. Maran,4189
T. Tuchel,4139
L. Zubeldía,4138
Guillermo Barros Schelotto,4128
P. Lambert,4100
Jorvan Vieira,4086
G. Donis,4027
H. Torres,4002
A. Mohamed,3987
C. Gourcuff,3984
R. Koeman,3954
N. Gorosito,3936
F. Rutten,3895
R. Zielinski,3878
Leonardo Jardim,3866
S. McClaren,3866
M. Pellegrino,3853
Luiz Felipe Scolari,3850
A. Jacobs,3835
Ik-Soo Ahn,3825
Sang-Chul Yoo,3825
F. Antonetti,3824
Pedro Martins,3815
A. Ilić,3809
V. Lavička,3785
F. Al Jabal,3740
S. Tsiolis,3734
J. Wouters,3726
Rui Vitória,3711
Jesualdo Ferreira,3681
Moacir Pereira,3655
Cristóvão Borges,3600
Mendilibar,3591
R. Donadoni,3586
Seok-Ju Ha,3570
R. Di Matteo,3562
D. Stojković,3526
Fernandão,3500
J. Aguirre,3491
N. Maâloul,3469
S. Pioli,3444
Hak-Beom Kim,3400
Z. Zeman,3374
D. Petrescu,3356
P. Dupraz,3277
F. Dury,3275
W. Gutiérrez,3270
J. Fossati,3269
Jung-Hwan Yoon,3260
Y. Kazama,3246
F. Hantz,3246
J. Furlan,3243
I. Pulga,3195
M. Matsunami,3145
B. Arena,3136
R. Popović,3126
M. Yanagishita,3126
R. Sensini,3106
M. O'Neill,3100
A. Casanova,3084
O. Solskjær,3079
G. Verbeek,3078
