Manager,Ranking
Z. Dalic,3061
Jorginho,3034
T. Schaaf,3026
I. Jovanović,3025
M. Rueda,3004
J. Romero,3002
Jorginho,3000
E. Corini,2982
S. Colantuono,2982
Tae-Yong Shin,2975
R. Grigorchuk,2967
M. Qosimov,2965
S. Schmid,2941
M. Weinzierl,2937
E. Meza,2916
S. Cherchesov,2892
D. Sanchez,2891
A. Ghotbi,2890
J. Keller,2873
A. Alessio,2864
G. Ventura,2840
P. Stöger,2821
O. Blokhin,2803
Pedro Caixinha,2795
Nuno Espírito Santo,2760
Nuno Espírito Santo,2760
A. Stanojević,2738
Ricardo Ferretti,2737
Levir Culpi,2707
J. Jönsson,2701
N. Adkins,2700
H. Fournier,2698
R. Israel,2690
N. Meier,2670
C. Bianchi,2642
Fabio Lefundes,2640
Man-Hee Choi,2635
O. De Felippe,2634
L. N'Diaye,2623
R. Schmidt,2613
Marquinhos Santos,2600
G. Christopoulos,2596
A. Langeler,2592
E. Almeida,2582
L. Kuchuk,2578
Å. Hareide,2574
Jorge Costa,2572
E. Hély,2570
Pizzi,2547
J. Urban,2543
J. Urban,2543
A. Gallego,2532
M. van Basten,2530
M. Skorża,2518
S. Aybaba,2517
E. Yanal,2515
M. Rednic,2503
Jairo Araújo,2500
T. Savevski,2468
Caneda,2459
R. Forestello,2458
Paco Herrera,2444
M. Herrera,2429
A. Ghalenoei,2425
P. Maes,2399
F. Torres,2398
P. Schöttel,2394
I. Andone,2391
S. Muslin,2382
J. Osorio,2373
Y. Maksimov,2350
Y. Semin,2335
Pedro Emanuel,2322
Tarek El Ashri,2322
R. Maaskant,2322
A. Andreazzoli,2308
A. Alm,2305
Manuel Machado,2300
B. McDermott,2300
O. Taran,2298
E. Gerets,2295
P. Bosz,2295
R. Prosinečki,2287
U. Forte,2284
R. Levy,2279
G. Paraschos,2266
H. Vanhaezebrouck,2261
G. Quinteros,2260
D. Cagna,2258
R. Ben Shimon,2256
C. Todd,2256
R. De Sá,2254
G. Morínigo,2250
C. Castro,2233
Jung-Won Seo,2214
Lucas Alcaraz,2203
O. Luzhny,2191
D. Kinnear,2181
M. Steijn,2160
K. Hjulmand,2159
K. Hjulmand,2159
H. Morishita,2148
Joaquín Caparrós,2145
P. Vermes,2141
M. Wiesinger,2136
R. Çalımbay,2134
J. Thorup,2126
Óscar García,2119
H. Karaman,2114
H. Redknapp,2100
M. Özdilek,2075
E. Scifo,2068
Z. Kranjčar,2065
V. Vermezović,2061
V. Goncharenko,2054
R. Arruabarrena,2029
R. Arruabarrena,2029
E. Koeman,1998
A. Pastoor,1998
Anquela,1995
F. Çapa,1991
G. Vázquez,1990
P. Dermitzakis,1980
Sabri Al Menyawi,1978
H. Van Veldhoven,1953
Juan Garrido,1953
Paulo Alves,1939
M. Lasarte,1928
G. Riddersholm,1919
G. Matosas,1897
Fernando Vázquez,1895
B. Galindo,1889
S. Arveladze,1872
J. Šilhavý,1865
L. Chauvin,1864
S. Slovák,1860
R. Lucescu,1858
P. Høgmo,1856
P. Gabriel,1832
M. Rumak,1828
I. Petev,1818
Y. Vernydub,1818
M. Božović,1816
M. Almeyda,1813
S. Levý,1809
Paulo Sérgio,1804
H. Fuchsbichler,1800
R. Brood,1782
J. Saibene,1776
D. Rossi,1775
D. Alonso,1761
R. Van Geneugden,1759
D. Casas,1738
D. Okuka,1736
Y. Krasnozhan,1729
J. Mølby,1727
Shawky Garib,1720
M. Carrera,1719
F. Yallop,1717
P. Christodoulou,1713
José Mota,1709
H. Hamzaoğlu,1691
G. Díaz,1689
V. Kotal,1685
Marcos Paquetá,1665
E. Sağlam,1663
G. Leekens,1658
L. Köstner,1647
G. Gadzhiev,1646
P. Fenlon,1636
H. Stoichkov,1636
Emad Soliman,1634
O. Asad,1628
N. Bergstrand,1625
L. Álvarez,1612
Y. Vural,1610
J. Lennartsson,1604
I. Balan,1604
Ó. Ramírez,1595
A. García,1588
R. Deila,1587
Paulo Sousa,1585
N. Kostov,1577
N. Kostov,1577
S. McCall,1575
S. Krunić,1574
N. Papavasiliou,1573
J. Kreis,1569
R. Caruso Lombardi,1568
A. Kombouare,1565
L. Astrada,1554
K. Nielsen,1554
A. Nishino,1554
J. Burruchaga,1550
Mohamed Helmi,1548
N. Vignjević,1537
A. Demyanenko,1525
A. Skarbalius,1523
M. Palermo,1512
T. Lokhoff,1512
Fabiano Soares,1511
H. van der Pluijm,1507
D. Kashtan,1502
Émerson Leão,1500
Márcio Goiano,1500
I. Iliev,1498
N. Anastopoulos,1496
M. Ouzounidis,1496
D. Ballardini,1491
Hang-Seo Park,1487
S. Lomas,1481
R. Skarsfjord,1474
T. Silva,1468
H. Vogel,1466
Talaat Youssef,1462
N. Gudelj,1458
G. Iachini,1456
D. Kalaitzidis,1452
Marco Silva,1446
G. Bulak,1442
G. Ogunbote,1441
G. Gattuso,1428
H. Sadegh,1427
S. Hanin,1417
Sá Pinto,1417
L. Søndergaard,1413
N. Klinger,1404
Sérgio Guedes,1400
Joel Santana,1400
Guto Ferreira,1400
P. Hubchev,1398
U. Meier,1387
P. Hyballa,1382
Sérgio Conceição,1381
M. Kbaïer,1380
E. Levy,1378
M. Stahre,1374
R. Warzycha,1370
T. Bech,1358
T. Butcher,1350
A. Dupont,1349
A. Emon,1348
G. Martínez,1342
P. Sørensen,1342
R. Romano,1339
S. Svistun,1338
D. Dimitrov,1337
J. Sampaoli,1326
P. Grigoraş,1325
D. Adams,1325
D. Adams,1325
A. Buspakom,1322
L. Šimčo,1312
L. Minář,1312
Gong Lei,1309
M. Bakkal,1309
Toninho Cerezo,1308
Waldemar Lemos,1300
K. Jonevret,1300
Vágner Mancini,1300
M. Brys,1296
O. Mizrahi,1295
B. Olsen,1295
F. Klopas,1288
Y. Abukasis,1283
C. Ferrara,1278
R. Norling,1275
L. Hudec,1274
M. Solano,1269
J. Andersson,1263
Z. Milinković,1262
K. Shiels,1262
S. Hyndman,1258
A. Anastasiadis,1254
J. Hernández,1250
J. Streppel,1242
F. Adelaar,1238
C. Contra,1236
G. Perrone,1234
E. Lienen,1232
Pablo Caballero,1225
Victor Fernández,1225
L. Fallas,1210
J. Delgado,1210
S. Cosmi,1207
G. Gasperini,1207
Alaa Abdelaal,1204
Caio Júnior,1202
P. Gerhardsson,1200
C. Brown,1200
C. Brown,1200
G. Almada,1200
D. Bajević,1200
H. Gómez,1200
C. Johnson,1198
José Luis Oltra,1198
Gregorio Manzano,1197
C. Díaz,1194
D. Kühbauer,1191
V. Kostov,1189
J. Cruz,1176
A. Guľa,1175
R. Pivarník,1175
H. Cúper,1166
C. Larsen,1160
J. Grindhaug,1150
F. Sava,1150
Z. Psotka,1138
D. Lennon,1137
M. Nikolic,1137
M. Nikolić,1137
A. Janković,1128
B. Uygun,1127
Raúl Möller,1125
C. Pustai,1125
M. Dodić,1124
D. Milanič,1122
Mohamed Gamal,1118
Mohamed Gamal,1118
Y. Mizrahi,1118
Ramadan El Sayed,1118
G. Arnold,1114
Gaúcho,1100
D. Eleftheropoulos,1100
M. Brosz,1100
Abel Resino,1097
J. Bernal,1095
Y. Ferrera,1092
L. Hadjiloukas,1089
L. Kozel,1088
M. Jansen,1080
F. Arce,1079
M. Trubachov,1078
T. Boy,1074
Ó. Pareja,1071
T. Kafkas,1068
M. Büskens,1068
M. Babbel,1068
M. Ismailov,1056
C. Watson,1056
M. Kanzari,1055
Augusto Inácio,1052
R. Dabrowski,1050
A. Arias,1050
P. Hapal,1050
M. Milanović,1049
P. Sarmiento,1038
J. Chávez,1034
V. Alvarado,1034
C. Jara,1034
F. García,1032
Mohamed Abdul Samie,1032
M. Haglund,1025
K. Rekdal,1025
J. Zielinski,1025
S. Mladenov,1025
J. Jarábek,1025
N. Hrnčár,1024
C. Lade,1017
E. Cohen,1014
P. Kurćubić,1013
T. Caanen,1012
B. Korkmaz,1006
G. Hunt,1005
M. Rennie,1003
L. Roussey,1001
B. Tabak,1001
P. Stokowiec,1000
A. Nawałka,1000
R. Mosquera,996
T. Banin,994
Ulisses Morais,987
N. Larkou,985
I. Sabău,982
Gao Hongbo,979
M. Gisdol,979
C. Enache,977
G. Mulţescu,975
E. Favaro,975
L. Stamenković,975
S. Genov,975
C. Olăroiu,974
U. Fischer,968
F. Booy,959
G. Sanguinetti,950
S. Habanec,949
D. Munteanu,949
S. Komphela,946
Ibrahim Youssef,946
J. Heaps,946
O. de León,946
A. Čačić,941
P. Hoftych,939
E. Velev,937
Woe-Ryong Chang,936
Ma Lin,935
L. Ramos,925
Artur Neto,924
G. De Boeck,918
H. Pfeifenberger,912
M. Keosseián,902
T. Hajto,900
A. Szabo,900
P. Olsson,900
T. Kulawik,899
J. Blanco,898
Sérgio Soares,888
D. Khuse,882
F. Komňacký,876
D. Fagermo,875
V. Vutsov,874
S. Barker,864
J. Pellicer,862
E. Villegas,860
Helmi Toulan,860
Z. Marques,858
Fabri González,858
G. Landau,855
G. Sannino,852
J. McGlynn,850
J. Olsson,850
J. Olsson,850
J. Olsson,850
J. Olsson,850
L. Ojrzynski,850
E. Middendorp,840
R. Insúa,840
P. Houston,839
A. Thomsson,837
Z. Ščasný,837
H. Jofuku,834
S. Batista,827
C. Anghel,825
I. Stan,825
E. Rivera,825
S. Bueno,818
B. Kaczmarek,813
R. La Volpe,811
M. Ješić,807
P. Morant,806
Y. Bakalov,802
J. Kosmina,801
P. Di Canio,800
V. Sinescu,799
D. Bonetti,797
Luis Milla,789
M. Rada,787
M. Jonuz,787
N. Saglam,784
G. Stroppa,781
R. Díaz,780
C. Bencomo,778
T. Tenev,775
B. Bogićević,775
R. Mroczkowski,775
O. Quintabani,774
A. Souayah,773
P. Mariner,771
K. Obaid,764
T. Sollied,762
B. Challandes,761
W. Löberbauer,760
P. Vélez,751
P. Rada,750
R. González,748
J. Hackworth,745
H. Medford,745
N. Ishizaki,740
H. Sánchez,740
J. Comesaña,738
A. Kobelev,738
M. Radukanov,738
S. Stoilov,725
P. Swärdh,725
A. Andersen,725
M. Pehrsson,725
A. De Armas,725
O. Melkemichel,725
G. Hadzhievski,724
T. Okada,722
A. Guimarães,721
N. Mitov,713
N. Todorov,712
N. Todorov,712
M. Kurz,712
C. Bergodi,710
J. Fernandez,705
F. Spasov,700
A. Zdravkov,700
P. Nowak,694
P. Nowak,694
J. Antúnez,694
R. Fraser,687
D. Guzmán,683
V. Karpin,681
V. Karpin,681
In-Wan Kim,680
T. Shalamberidze,679
G. Ocampo,679
S. Dora,676
R. Belhout,675
L. Smerud,675
F. Vercauteren,660
G. Petrakis,660
A. Koster,651
J. Torres Servin,651
J. Vukušič,650
V. Tănase,649
G. Pérez,649
J. McNamara,649
L. De Canio,639
Á. Gómez,638
J. Plíšek,637
D. Franco,634
V. Hizo,625
P. Mosimane,624
Y. Kalitvintsev,624
F. Kramer,623
V. Jensen,622
M. Brindisi,620
Sérgio Farias,617
S. Šapurić,617
A. Mantzios,616
Z. Zagorčić,614
Zhu Jiong,614
T. Amundsen,600
L. Núñez,600
Falcão,600
M. Şumudică,591
M. van der Gaag,590
M. Petke,585
B. Hacıyev,580
J. Cardozo,575
C. Ţălnar,575
Jaime Pacheco,575
F. Castro,575
S. Escobar,575
G. Caballero,573
Y. Naim,572
V. Gazzaev,568
L. Delneri,568
S. Cooper,567
Mario Carrillo,565
Toni,556
D. Philippe,555
D. Aguirre,553
E. Pekonen,552
M. Lapuente,551
Odir Jacques,550
C. Bustos,550
C. Bustos,550
M. Jacquet,550
A. Papadopoulos,550
A. Skowronek,550
P. Čuhel,550
C. Christoforou,544
R. Fringer,540
S. Åkeby,537
Kwi-Jea Cho,536
I. Hašek,536
P. Belsvik,536
C. Barker,536
M. Mngqithi,536
R. Antić,533
G. Chatzinikolaou,528
Jorge Casquilha,527
Costinha,526
P. Ljung,525
G. Schürrer,518
G. Schürrer,518
N. Pumpido,518
R. Zobel,516
N. Kolombourdas,514
R. Khuzin,511
V. Gazzaev,511
Hae-Seong Jung,510
M. Ramón,506
M. Pulpit,500
V. Konik,500
C. Ayala,500
Argel Fucks,500
L. Ciobotariu,500
K. Kieres,500
Hélio dos Anjos,500
P. Hansen,500
J. Tejera,500
R. Jans,498
L. Staelens,498
Hany Ramzy,497
C. Janssens,496
C. Rosslee,496
W. Zenga,496
M. Konstantinou,484
K. Panagopoulos,484
F. Cifer,481
L. Bastidas,478
J. Rocha,478
J. Omog,477
C. Pasuwa,476
G. Hoyos,475
N. Otero,475
R. Hansen,475
D. Bekvalac,475
S. Tarkovic,475
H. García,475
V. Pyatenko,471
H. ten Cate,468
R. Demetriades,468
C. Porter,468
G. Papakostas,462
B. Smith,462
A. Nikopolidis,462
Manuel Cajuda,461
A. Aguinaga,458
F. Shcherbachenko,454
M. Appleton,450
K. Jackett,450
D. Flitcroft,450
Miguel Portugal,450
I. Ganea,450
D. Đurđević,450
E. Bauza,450
R. Ortiz,450
Nelo Vingada,446
G. Solinas,445
F. Magath,445
C. Bernegger,444
R. Ferenčina,444
N. Ferraresi,444
Carlos Carvalhal,443
Antonio López,442
R. Chávez,440
B. Peeters,440
A. Chervenkov,438
M. Zuccarelli,432
Osama Orabi,430
Anwar Salama,430
S. Zaytsev,430
S. Zaytsev,430
N. Pavlov,428
N. Pavlov,428
Guardiola,427
N. Manea,425
S. Mrkić,425
W. Barrett,422
G. Baumgartner,420
D. Geeraerd,420
J. Neeskens,410
M. Ferrufino,408
N. Saâdi,408
K. Neitzel,401
O. Kononov,401
J. Brown,400
M. Hughes,400
M. Kushev,400
D. Gayol,400
D. Baltierra,400
A. Torstensson,400
I. Gane,400
Domingos Paciência,399
N. Karidas,396
S. Edri,390
R. Atar,390
Tarek Yehia,389
A. Zafirov,387
N. Shirazi,384
G. Wilkinson,376
O. Canobbio,375
G. Ivanov,375
L. Nilsen,374
M. Krstičević,374
S. Baxter,364
C. Kaiafas,363
M. Diyadin,363
M. Skibbe,362
M. Diyadin,363
M. Skibbe,362
K. Bordinggaard,360
K. Tasaka,358
G. Vonortas,352
R. Mora,352
V. Quesada,352
G. Milojević,350
A. Velkov,350
G. Locke,350
João Alves,349
Ahmed Sary,344
Mohamed Wahba,344
Mokhtar Mokhtar,344
M. Mjelde,338
J. Suárez,337
M. Probierz,337
R. Vešović,335
S. Constantine,333
T. Kiyama,333
G. Topalidis,333
Shen Xiangfu,330
O. Bejenari,326
B. Deane,325
K. Marko,325
L. Jurkemik,325
M. Koubek,325
A. Bogers,324
D. Jović,322
A. Muurinen,322
A. Rossini,318
K. Tskhadadze,316
I. Badea,315
J. Mathijssen,306
M. Ertuğral,302
S. Jovanovic,302
B. Kidd,300
Mílton Cruz,300
C. Michniewicz,300
A. Christensen,300
M. Soukup,300
S. Kuzeljević,300
Abel Ribeiro,300
A. Dzhambazki,300
N. Milošević,300
S. Dayat,300
M. Prince,300
V. Kumykov,297
F. Kudelka,296
C. Mayor,296
C. Mayor,296
Vítor Oliveira,295
Ednaldo Patricio,293
F. Maturana,292
E. Sikora,289
R. Dragićević,289
P. Zelenský,288
J. Gustafsson,287
C. Dulca,275
I. Ganchev,275
J. Giordano,275
G. Berrío,275
V. Mukhanov,275
C. Jara Saguier,275
L. Totkovič,275
F. Straka,275
J. Karelse,270
L. Peruzović,268
M. Notaro,267
J. Sánchez Solá,264
S. Pantelidis,264
N. Kostenoglou,264
N. Pasialis,264
E. Trică,263
Bruno Saraiva,263
E. Lara,262
C. Maldonado,261
Mohamed Abdel-Galil,258
Farouk Jafar,258
A. Alferov,255
Woo-Hyung Lee,255
Sung-Jeung Dang,255
J. Baldivieso,252
N. Frederiksen,252
J. Torrente,252
A. Geiger,251
Ó. Pérez,250
G. Pelusso,250
M. Saralegui,250
C. Rodao,250
J. del Olmo,247
J. Chávez,246
Wu Jingui,244
G. Silva,242
L. Buckley,241
V. Urbonas,237
J. Pruijn,236
O. Kubarev,235
Li Ming,234
K. Martonen,233
Li Ming,234
K. Martonen,233
Al Hassan Al Yami,230
T. Rouabah,228
V. Karpin,227
V. Karpin,227
R. Björknesjö,225
J. Arce,225
E. Cruz,225
N. Napoli,225
H. Bodhert,225
V. Rašović,225
M. Miller,224
S. Pressley,224
G. Zapata,222
B. Đurovski,222
V. Bottaniz,222
R. Adachi,222
M. Vivas,222
D. Jeffrey,221
D. Tosello,220
M. Katsavakis,220
R. Chacón,220
R. Kirchler,219
J. Versleijen,216
A. Schreuder,216
D. Di Carlo,213
A. Malesani,213
N. Nikolaou,212
M. Balbul,208
H. Gudjonsson,207
D. Khokhlov,204
E. Šiljak,203
O. Huguet,200
P. Svantner,200
G. Jara,200
A. Reyes,200
N. Zelaya,200
M. Piazza,200
E. Retat,200
H. Cárdenas,200
R. Látal,200
E. Kondás,200
S. Chidzambwa,196
H. Velud,194
V. Weiss,194
R. Palmgren,194
P. Troussier,192
F. Vergara,189
M. Sundgren,187
