Manager,Ranking
Luis Enrique,18662
Guardiola,14535
D. Simeone,13614
Unai Emery,12412
T. Tuchel,12306
Ernesto Valverde,11118
I. Ambriz,11060
L. Blanc,10835
L. Blanc,10835
Marcelino,10774
Ricardo Ferretti,10482
M. Allegri,10380
E. Coudet,10157
M. Lucescu,10008
M. Gallardo,9742
M. Pellegrini,9722
Guillermo Barros Schelotto,9718
Tite,9657
Roger Machado,9536
Yong-Soo Choi,9340
Rui Vitória,9251
L. van Gaal,9078
D. Hecking,8673
Z. Zidane,8419
R. Schmidt,8351
Dorival Júnior,8211
A. Wenger,8134
J. Cardozo,7999
J. Klopp,7957
Paulo Fonseca,7955
Juan Garrido,7952
E. Berizzo,7950
M. Pellegrino,7934
G. Vázquez,7922
E. Domínguez,7896
Kang-Hee Choi,7880
G. Donis,7857
André Villas-Boas,7803
F. Sava,7757
Marcelo Oliveira,7677
S. Rebrov,7570
Jorge Jesus,7511
M. Pochettino,7220
Rafael Benítez,7034
E. Bauza,7009
Jung-Won Seo,6982
Argel Fucks,6898
L. Slutsky,6848
C. Gross,6762
Levir Culpi,6698
Luiz Felipe Scolari,6671
R. Arruabarrena,6615
R. Arruabarrena,6615
Z. Ščasný,6338
A. Breitenreiter,6331
S. Pioli,6267
U. Fischer,6222
C. Ranieri,6171
P. Cocu,6128
Paulo Sousa,6122
P. Troglio,6104
D. Aguirre,6094
Vítor Pereira,6086
O. Kononov,6069
M. Vucetich,6040
Eduardo Baptista,5998
Hak-Beom Kim,5993
A. Mohamed,5940
R. Rueda,5907
Mano Menezes,5901
R. Mancini,5894
A. Schubert,5856
A. Holan,5762
M. Markevych,5722
S. Bilić,5699
C. Galtier,5352
D. Cocca,5337
Leonardo Jardim,5314
D. Alonso,5310
R. Koeman,5299
P. Dárdai,5234
Y. Vernydub,5200
G. van der Lem,5166
G. Pelusso,5152
L. Madelón,5132
Marco Silva,5123
Milton Mendes,5110
R. Zielinski,5096
J. Osorio,5050
H. Vanhaezebrouck,5043
R. Forestello,4984
Quique Setién,4950
P. Guede,4890
S. Mihajlović,4872
M. Weinzierl,4849
F. Quiroz,4818
M. Almeyda,4804
Sabri Al Menyawi,4804
Sung-Hwan Cho,4803
Javi Gracia,4800
F. de Boer,4739
J. Almirón,4738
D. Osella,4735
L. Zubeldía,4731
E. Di Francesco,4727
Sun-Hong Hwang,4718
Sun-Hong Hwang,4718
Mohamed Gamal,4685
Mohamed Gamal,4685
E. Meza,4680
M. Preud'homme,4664
S. Eriksson,4651
G. Neville,4616
Guto Ferreira,4586
G. Milito,4563
Do-Hoon Kim,4549
B. Labbadia,4479
Míchel,4469
Z. Barisic,4454
Víctor Sánchez,4450
Alaa Abdelaal,4438
M. Schmidt,4436
Lopetegui,4392
Mohamed Youssef,4365
J. van den Brom,4359
Mendilibar,4300
G. Munúa,4209
Mokhtar Mokhtar,4191
V. Skripnik,4170
B. Hasi,4150
M. Hughes,4133
