Manager,Ranking
J. Pinto,2046
João Henriques,2046
G. Pelusso,2045
U. Stielike,2027
F. de Boer,2002
V. Jílek,1994
M. Ouzounidis,1989
M. Brys,1986
M. Petrović,1983
O. Da Gama,1975
G. Hagi,1974
D. Petrescu,1972
C. Pélissier,1968
S. Komphela,1964
L. Pusineri,1955
E. Meza,1954
Silas,1950
Mido,1944
F. Castro,1938
R. Garde,1936
D. Mangia,1924
D. Canadi,1920
R. Coolen,1917
Andoni Iraola,1914
Wang Baoshan,1910
S. Tomarov,1903
L. Álvarez,1902
António Folha,1900
D. McInnes,1899
P. Repetto,1894
J. Bernal,1891
L. Slutsky,1888
Joaquín Caparrós,1878
O. De Felippe,1875
J. Gustafsson,1870
V. Sachko,1870
P. Stokowiec,1868
Č. Janevski,1860
F. Mercadal,1855
A. Baga,1854
O. Buruk,1854
C. Coleman,1844
Z. Ščasný,1841
A. Postecoglou,1840
E. Almeida,1839
Choi Yong-Soo,1831
Ehab Galal,1824
F. Mazzù,1815
W. Fornalik,1792
J. Fossati,1786
O. Ryabokon,1785
D. Carreño,1782
R. Grigorchuk,1774
Adilson Batista,1768
M. Petke,1766
E. Lara,1765
N. Gorosito,1754
H. Ortiz,1752
Ali Maher,1748
Hossam Hassan,1748
Talaat Youssef,1748
V. Ivić,1746
S. Corica,1746
J. Weber,1740
K. Hjulmand,1738
D. Nielsen,1734
A. Koster,1734
C. Ayala,1719
G. Vanney,1717
C. Enache,1712
G. Hoyos,1696
J. Sánchez Solá,1696
B. Storck,1691
S. Mihajlović,1686
G. Martino,1668
Toni,1666
B. Schuster,1666
Sergio Piernas,1660
A. García,1657
S. Billborn,1653
V. Paunovic,1649
D. Kerkez,1634
C. Larsen,1634
C. Johnson,1631
A. Bobadilla,1631
B. Páník,1626
Domènec Torrent,1625
S. Clarke,1619
Daniel Ramos,1615
J. Michelsen,1610
Gilson Kleina,1602
H. Vanhaezebrouck,1602
G. Donis,1598
T. Gonias,1596
Guto Ferreira,1593
Milton Mendes,1584
Miguel Cardoso,1580
John Lammers,1579
M. Teja,1578
José Mota,1571
M. Schneider,1562
M. Nikolić,1560
Pepa,1559
Cho Kwi-Jea,1556
Z. Hornyák,1551
E. Yanal,1549
C. Makélélé,1545
L. Ramos,1542
C. Prandelli,1537
S. Watanabe,1531
C. Michelsen,1530
B. Korkmaz,1529
M. Božović,1523
R. Díaz,1520
G. Verheyen,1520
C. Levein,1519
Vágner Mancini,1513
S. Lamouchi,1507
Leonardo Jardim,1507
I. Basay,1506
H. ten Cate,1505
T. Thomasberg,1504
M. Echeverría,1503
E. Horneland,1495
M. Rednic,1488
F. Wormuth,1487
Fran Escribá,1485
T. Popović,1485
K. Andersen,1465
E. Neagoe,1462
L. Eymael,1458
Hamada Sedki,1444
Helmi Toulan,1444
T. Katanosaka,1442
José Peseiro,1441
A. Zorniger,1435
M. Soso,1427
M. Brosz,1423
S. Pantelidis,1415
H. Rivera,1413
Petit,1412
K. Muscat,1411
I. Chavos,1410
J. Pautasso,1407
Sá Pinto,1407
M. Carrera,1406
I. Burchnall,1403
A. Heath,1399
C. Torres,1396
D. Advocaat,1395
D. Buijs,1395
F. Dury,1393
S. Arveladze,1393
W. Nyirenda,1392
A. Andreazzoli,1390
H. Bidoglio,1377
I. Petev,1377
R. Deila,1372
L. Nilsen,1372
Mokhtar Mokhtar,1368
M. Probierz,1366
Costinha,1365
P. Aussems,1363
M. Hašek,1363
J. Kentoš,1362
F. Perlo,1358
Imanol Idiakez,1357
N. El Maestro,1347
Ž. Kopić,1345
D. Fagermo,1343
P. Zeidler,1342
B. Marioni,1339
R. La Volpe,1339
O. Melkemichel,1330
G. Quinteros,1327
A. Kombouare,1322
J. Jönsson,1321
Carpegiani,1320
D. Lavagne,1320
Kim In-Wan,1319
S. Méndez,1315
N. Kirov,1314
A. Groenendijk,1302
Mohamed Ouda,1292
I. Tudor,1289
K. Runjaic,1288
A. Tomash,1286
T. Wright,1285
H. Sierra,1282
M. Adiev,1278
K. Bergstrand,1278
C. Ilzer,1276
M. Steijn,1270
P. Hyballa,1259
I. Iliev,1259
D. Holoubek,1259
Yousef Alghadeer,1255
J. Olde Riekerink,1254
Paulo Sousa,1252
J. Cedergren,1247
R. Moniz,1247
F. Stoican,1244
J. Streppel,1241
M. Denizli,1239
M. Stolarczyk,1237
Y. Bakalov,1222
S. Yalçın,1220
A. Kocaman,1216
D. Alenichev,1215
G. Poyet,1211
Wu Jingui,1210
S. Poursaitidis,1208
E. Tinkler,1207
H. Nanami,1205
M. Weinzierl,1204
Jorginho,1204
R. Eijer,1193
A. Sal,1193
S. Robinson,1186
L. Guyot,1181
F. Bustos,1178
Chen Jingang,1174
M. Baroni,1172
G. Iachini,1172
D. Nicola,1172
Augusto Inácio,1169
D. Nowak,1161
J. Thelin,1153
I. Kopecký,1145
A. Šoltís,1142
M. Rastavac,1139
N. Zekri,1134
S. Aybaba,1127
T. Dellas,1122
R. Siboldi,1118
G. Lettieri,1109
G. Festa,1104
T. Letsch,1101
Vincent Rautureau,1098
T. Henry,1097
D. Di Carlo,1097
K. Schmidt,1096
S. Maalen,1090
E. Berizzo,1089
D. Lukkien,1084
M. Schopp,1084
M. Kurz,1080
M. Rudan,1080
Q. Qurbanov,1073
E. Merrick,1071
P. Neveu,1071
Rogério Micale,1068
Alaa Abdelaal,1064
G. Holt,1064
S. Hejkal,1063
G. Djuricin,1054
Á. Gutiérrez,1050
H. Keleş,1046
D. Alexa,1039
J. O'Connor,1039
A. Chervenkov,1032
H. Karaman,1027
D. Pérez,1025
F. Inzaghi,1024
A. Stanojević,1017
M. Ponce,1016
D. Kerr,1013
E. Middendorp,1013
Rui Faria,1011
H. Crespo,1001
O. Dall’Oglio,1001
P. Asbaghi,999
W. Joyce,999
C. Arslan,997
