Manager,Ranking
Luis Enrique,17154
C. Ancelotti,15680
Unai Emery,13519
Guardiola,13202
M. Allegri,11181
D. Simeone,11132
D. Hecking,10968
Lopetegui,10015
José Mourinho,9881
A. Wenger,9808
Kang-Hee Choi,9387
Marcelino,9167
R. Schmidt,9042
L. Blanc,8995
L. Blanc,8995
M. Gallardo,8925
Rafael Benítez,8906
V. Montella,8888
Marcelo Oliveira,8364
Nuno Espírito Santo,8150
L. Favre,8109
Ernesto Valverde,8071
M. Pellegrini,7988
C. Gross,7975
S. Rebrov,7901
J. Klopp,7521
Marco Silva,7521
Jung-Won Seo,7489
Levir Culpi,7301
M. Markevych,7286
André Villas-Boas,7246
Roberto Martínez,6933
M. Preud'homme,6923
G. Matosas,6799
M. Pochettino,6711
R. Garcia,6689
Ricardo Ferretti,6580
B. Rodgers,6475
L. van Gaal,6460
Jorge Jesus,6454
S. Cherchesov,6306
Muricy Ramalho,6252
R. Arruabarrena,6085
R. Arruabarrena,6085
G. Ventura,6055
T. Boy,5916
M. Lucescu,5914
J. da Silva,5861
J. da Silva,5861
G. Donis,5618
D. Cocca,5524
P. Cocu,5520
S. Bilić,5511
F. de Boer,5510
Sergio,5500
K. Hasegawa,5375
G. Costas,5363
R. Di Matteo,5319
Hak-Beom Kim,5300
Mano Menezes,5150
C. Galtier,5143
E. Berizzo,5100
J. Gourvennec,5093
Sérgio Conceição,5092
E. Bauza,5083
R. Koeman,5017
Fernando Jubero,4945
J. Osorio,4935
Paco Jémez,4900
Eduardo Baptista,4900
G. Monk,4856
Juan Garrido,4846
L. Slutsky,4822
A. Pardew,4782
F. Rutten,4694
O. Kononov,4681
A. Hütter,4654
B. Hasi,4620
H. Berg,4616
J. Cardozo,4590
M. Weinzierl,4572
R. Girard,4537
M. Hughes,4498
M. Gisdol,4480
G. van der Lem,4472
H. Fournier,4456
A. Mohamed,4420
Pedro Caixinha,4410
Paulo Sousa,4343
Pedro Martins,4308
Vanderlei Luxemburgo,4300
Sun-Hong Hwang,4292
Sun-Hong Hwang,4292
M. Pellegrino,4279
Fran Escribá,4100
Abel Braga,4100
G. Gasperini,4044
Mokhtar Mokhtar,4042
T. Schaaf,4010
C. Gâlcă,4005
Mohamed Gamal,3956
Mohamed Gamal,3956
Manuel Machado,3924
Rui Vitória,3920
D. Alonso,3908
M. Bielsa,3883
Gregorio Manzano,3878
S. Allardyce,3830
Jaime Pacheco,3789
Emad Soliman,3784
S. Mihajlović,3766
P. Stöger,3729
U. Forte,3724
V. Piţurcă,3704
D. Moyes,3700
P. Maes,3699
Mohamed Abdul Samie,3698
Mohamed Helmi,3698
R. Mancini,3686
F. Inzaghi,3664
Marquinhos Santos,3650
V. Lavička,3641
L. Reghecampf,3636
R. Deila,3612
Cristóvão Borges,3600
C. Streich,3545
G. Vázquez,3510
Gaizka Garitano,3500
Ó. Ramírez,3498
Seong-Hyo Yoon,3485
İ. Kartal,3466
R. Zielinski,3442
Alaa Abdelaal,3440
R. Zobel,3440
N. Beyaoui,3440
Hossam Hassan,3440
B. Olsen,3391
L. Tena,3382
N. Pearson,3371
Guillermo Barros Schelotto,3371
F. Klopas,3364
Sabri Al Menyawi,3354
Paulo Fonseca,3349
R. Jans,3302
José Gomes,3298
P. Bosz,3287
D. Guzmán,3240
C. Contra,3213
Lucas Alcaraz,3200
Luiz Felipe Scolari,3200
R. Courbis,3199
H. Vanhaezebrouck,3183
E. van de Looi,3163
R. Bilyaletdinov,3155
E. Di Francesco,3150
G. Iachini,3150
J. Almirón,3117
Y. Vernydub,3105
M. Russo,3102
Argel Fucks,3100
S. Bruce,3082
A. Mandorlini,3082
H. Hamzaoğlu,3065
Miguel Leal,3064
D. Aguirre,3046
Y. Anastasiou,3016
P. Montanier,3016
D. Lavagne,2985
S. Demol,2974
A. Schreuder,2955
U. Meier,2951
Enderson Moreira,2950
P. Sarabia,2929
Jalal Qaderi,2920
A. Stramaccioni,2911
S. Güneş,2907
I. Vrabec,2892
A. Breitenreiter,2890
M. Sarri,2872
S. Dyche,2864
M. Der Zakarian,2859
Lito Vidigal,2852
Míchel,2849
J. van den Brom,2838
M. Petrović,2823
S. Vergetis,2805
T. Popović,2805
Kyung-Hoon Park,2805
P. Troglio,2802
G. Alfaro,2784
M. Almeyda,2784
T. Yoshida,2769
Toninho Cerezo,2768
V. Sachko,2764
J. Šilhavý,2744
E. Meza,2740
H. Sekli,2731
E. Yanal,2728
Seok-Ju Ha,2720
Bong-Gil Kim,2720
Bong-Gil Kim,2720
T. Korkut,2704
J. de la Torre,2700
Victor Fernández,2700
A. Avci,2695
Z. Dalic,2679
C. Puel,2673
R. Maran,2670
José Couceiro,2647
T. Skullerud,2640
M. Wright,2640
D. Lodeweges,2636
Min-Kook Cho,2635
M. Koubek,2626
M. Yakin,2623
P. Garande,2623
M. Laudrup,2612
F. Mazzù,2554
Caneda,2536
Y. Semin,2534
G. Dermendzhiev,2533
C. Barra,2520
S. Solbakken,2518
H. Stevens,2518
Ricardo Drubscky,2500
A. Anastasiadis,2476
A. Souayah,2475
Gilson Kleina,2462
T. Pulis,2460
K. Nielsen,2456
V. Milojević,2443
A. Janković,2443
Leonel Pontes,2426
V. Skripnik,2425
Petit,2423
M. Božović,2395
Ney Franco,2390
S. Ripoll,2384
K. Madoui,2379
S. Baxter,2360
Tite,2358
P. Mosimane,2346
R. Sensini,2340
C. Reinoso,2340
Pako Ayestarán,2320
R. Lucescu,2309
A. Arias,2294
K. Hjulmand,2288
J. Streppel,2287
Mílton Cruz,2280
A. Mansourian,2270
Å. Hareide,2265
R. Rakhimov,2257
M. Vucetich,2250
F. Bouali,2248
H. de Jong,2243
A. Guľa,2243
Á. Gutiérrez,2238
J. Zinnbauer,2238
M. Nikolic,2219
M. Nikolić,2219
R. Çalımbay,2214
V. Kvartsyanyi,2211
Hang-Seo Park,2210
F. Cannavaro,2198
C. Kaiafas,2197
C. Mayor,2186
N. Apuzzo,2185
Y. Vanderhaeghe,2183
Z. Barisic,2172
P. Dupraz,2135
G. Poyet,2134
E. Tudor,2128
J. Jarábek,2112
A. McLeish,2109
R. Sanzhar,2097
Thomas Christiansen,2091
I. Rakhayev,2084
J. Cruz,2070
A. Sosa,2070
Cha-Man Lee,2040
C. Porter,2040
R. Alflen,2039
W. Mazzarri,2033
