Manager,Ranking
N. Lalatović,2029
D. McInnes,2028
R. Donadoni,2020
E. Coudet,2018
D. Fagermo,2017
D. Kühbauer,2016
M. Dijkhuizen,2002
A. Nishino,1996
Pedro Emanuel,1995
Y. Kazama,1992
J. Vasseur,1988
N. Spasov,1985
J. Hughes,1961
P. Vermes,1958
B. Arena,1955
G. Riddersholm,1951
S. Schmid,1945
L. Ramos,1942
O. Buruk,1941
K. Jarolím,1934
Vítor Pereira,1927
D. Canadi,1926
José Mota,1924
P. Lambert,1909
B. Barak,1906
C. Christoforou,1905
I. Chavos,1901
Vágner Mancini,1900
G. Petrakis,1900
Celso Rodrigues,1900
M. Ficcadenti,1899
M. Palermo,1889
A. Kocaman,1889
M. Skibbe,1882
J. Saibene,1869
G. Almada,1862
A. Gamero,1852
H. Fraser,1841
L. Ammouta,1839
J. Stegeman,1839
Nélson Baptista,1834
I. Kolyvanov,1830
A. Cartier,1820
N. Jovović,1818
M. Skorża,1811
E. Méndez,1800
H. Tapia,1800
Jorginho,1800
I. Ambriz,1800
H. Moriyasu,1799
K. Balakov,1797
F. Quiroz,1793
O. De Felippe,1780
D. Franco,1768
Ó. Pareja,1766
S. Yalçın,1764
M. Petke,1755
M. Larriera,1744
D. Alenichev,1741
U. Fischer,1731
K. Ingebrigtsen,1728
J. Campos,1721
M. Brys,1720
Y. Higuchi,1706
Z. Milinković,1695
A. Paus,1694
F. Ibenge,1683
V. Goncharenko,1680
M. Schmidt,1679
J. Luhukay,1679
A. Kombouare,1675
A. Casanova,1674
T. Kafkas,1672
E. Levy,1665
L. Astrada,1664
Cuca,1659
D. Vasev,1657
V. Pyatenko,1653
Juan Ignacio Martínez,1650
A. Tarkhanov,1647
P. Hubchev,1628
E. Săndoi,1627
D. Oldrá,1616
V. Halilhodžić,1614
T. Pawłowski,1604
F. Vanderbiest,1591
H. Redknapp,1586
L. Kozel,1585
P. Dárdai,1585
Alexandre Gama,1581
T. Frank,1576
S. Colantuono,1574
O. Şahinoğlu,1553
Adel Abdulrahman,1553
J. McNamara,1550
Oswaldo de Oliveira,1550
Jung-Hwan Yoon,1541
F. Dury,1538
L. Kuchuk,1537
M. Baur,1535
Sung-Hwan Cho,1530
Carlos Granero,1529
M. Grigoriou,1528
G. Christopoulos,1528
J. Heaps,1525
B. Bradley,1525
A. Axén,1524
P. Olsson,1522
P. Tobiáš,1520
P. Tobiáš,1520
W. Perazzo,1515
J. Grindhaug,1512
T. Wright,1502
G. Raggio,1500
J. Flores,1500
T. Sherwood,1499
A. Alm,1497
H. Marecos,1496
N. Gorosito,1495
M. Probierz,1492
H. Torres,1486
A. Irvine,1475
M. Milanović,1475
F. Castro,1460
S. Eriksson,1458
Mido,1455
G. Quinteros,1452
C. Todd,1443
L. Ojrzynski,1443
Pizzi,1440
L. Grozavu,1438
O. Glasner,1431
L. Madelón,1421
A. Gallego,1420
R. Pivarník,1406
C. Robinson,1404
H. García,1403
L. Søndergaard,1402
Joaquín Caparrós,1400
M. Đukić,1400
Claudinei Oliveira,1400
C. Olăroiu,1399
S. Habanec,1382
P. Gerhardsson,1381
S. Mladenov,1380
R. Látal,1379
Z. Ščasný,1378
M. Stahre,1377
J. Giordano,1363
V. Kotal,1357
Paulo Sérgio,1351
C. Ortega,1350
S. Stoev,1349
I. Jovićević,1347
G. Berhalter,1340
N. Frederiksen,1340
G. Hunt,1337
Q. Qurbanov,1334
M. Babbel,1331
J. Cassar,1326
R. Sandberg,1317
G. Morínigo,1315
M. Ouzounidis,1310
J. Andersson,1301
J. Sánchez,1301
D. Nielsen,1300
M. Beranek,1292
Do-Hoon Kim,1275
K. Rekdal,1269
N. Milovanović,1269
Khalid Al Koroni,1268
P. Swärdh,1268
M. Kek,1267
İ. Buz,1255
M. Şumudică,1249
G. Milito,1245
Amro Anwar,1245
N. Warnock,1240
G. Baumgartner,1239
H. Rivera,1239
M. Kosanović,1237
R. Berdyev,1236
O. Pedersen,1234
I. Andone,1226
F. Torres,1225
T. Bernady,1223
K. Jonevret,1223
V. Petrakov,1220
D. Tholot,1216
A. Nouri,1213
J. Curtin,1211
J. Curtin,1211
Y. Mizrahi,1211
Z. Mamić,1210
J. Dal,1207
D. Đurđević,1206
P. Hapal,1199
K. Ingesson,1199
S. Lippi,1196
S. Watanabe,1193
José Romão,1191
L. Ciobotariu,1190
N. Napoli,1189
F. Straka,1186
T. Fink,1185
T. Fink,1185
Moubarak Soliman,1179
V. Miriuță,1179
M. Yanagishita,1176
S. Krunić,1175
J. Vivaldo,1175
J. Jönsson,1173
R. De Sá,1173
K. Oenoki,1165
V. Grozny,1164
R. Stumpf,1163
Z. Marić,1158
V. Zhuravel,1155
A. Archibald,1150
F. Booy,1144
B. Mráz,1144
Roberto Carlos,1144
Rui Quinta,1140
G. Igesund,1137
S. Arveladze,1131
E. Rivera,1130
J. Lennartsson,1128
G. Hagi,1126
P. Hartley,1125
G. Contini,1123
J. López,1122
Y. Luzon,1119
Fathi Mabrouk,1118
Fathi Mabrouk,1118
J. Baldivieso,1114
J. Soto,1114
F. Thijssen,1114
M. Mjelde,1110
Ki-Il Nam,1105
Sang-Rae Noh,1105
Pablo Franco,1100
J. McIntyre,1100
D. Di Carlo,1094
N. Craviotto,1092
P.Gergely,1091
Ó. Kristjánsson,1091
D. Isăilă,1088
M. Lehkosuo,1087
B. Deane,1081
M. Rumak,1081
B. Ivanković,1069
Bruno Ribeiro,1068
Fabiano Soares,1068
P. Rada,1068
S. Komphela,1063
L. Banide,1058
Y. Shatalov,1056
M. Lippi,1053
R. Lunari,1051
Quique Sánchez Flores,1050
B. Bogićević,1048
Arrasate,1042
D. Kinnear,1042
J. Carver,1041
D. Advocaat,1041
I. Kolev,1040
K. Berdyev,1037
I. Vukomanović,1036
J. Keller,1036
Sang-Yoon Lee,1031
R. Tarasiewicz,1030
G. Levy,1029
A. Šimundža,1029
H. Jofuku,1027
F. Yallop,1027
R. Hansen,1016
K. Okuma,1015
H. Larsson,1015
D. Vavruška,1010
A. Mantzios,1007
J. Dankowski,1004
G. Luzon,1002
A. Falub,1001
Francisco,1000
M. Haglund,1000
José Ramón Sandoval,1000
W. Coito,1000
Domingos Paciência,998
Ivo Vieira,997
M. Bakkal,988
J. Gustafsson,983
P. Carteron,982
H. Vargas,978
V. Vutsov,977
A. Neil,975
J. Falcioni,972
R. Rezza,972
M. Radványi,970
F. Stoican,969
F. Arce,969
F. Marin,968
D. van Wijk,962
J. Riga,962
E. Reja,956
C. Ramsey,954
S. Barker,954
F. Smuda,952
E. Arias,951
J. Giacone,948
E. Sağlam,940
C. Pustai,939
D. Ahmed,938
J. Mian,936
B. Labbadia,933
N. Klinger,932
G. Taousianis,932
S. Babayan,927
Raúl Möller,920
R. Grigorchuk,918
H. Derakhshan,918
D. Skočić,917
J. Santa,914
M. Hansen,911
R. Podolinski,910
Ángel Pérez Garcia,910
C. Prandelli,907
R. Hernández,900
Doriva,900
Guto Ferreira,900
M. Yoshida,897
M. Jacquet,891
Chen Yang,891
A. Haan,891
R. Torres,889
Z. Zeman,888
Z. Zagorčić,888
J. Kentoš,872
E. Tinkler,872
J. Kocian,871
A. Maikaba,871
R. Atar,870
G. Kosma,864
H. Kolev,856
G. Matzourakis,856
Jorge Simão,855
J. Chovanec,855
N. Ishizaki,852
R. Chihab,851
S. Hanin,847
G. Mulţescu,846
F. Dican,845
Tribulietx,839
A. Veh,839
Gao Hongbo,837
M. Panait,836
A. Holguín,834
O. Quintabani,833
W. Fornalik,823
R. Adachi,819
A. Freese,815
M. Akcay,808
S. Christ,801
Víctor Sánchez,800
A. Chantsev,796
M. Rastavac,794
H. Eklund,794
H. Eklund,794
K. Papic,790
E. Cohen,787
I. Petev,786
H. Cárdenas,786
N. Nioplias,783
Sá Pinto,782
M. Krüger,782
O. Protasov,782
A. Szabo,782
P. Kurćubić,779
R. Norling,778
S. Papadopoulos,774
K. Kieres,772
J. Brzęczek,771
M. Rednic,761
P. Bengoechea,761
Pablo Caballero,760
S. Dora,757
Xi Zhikang,756
Jia Xiuquan,756
José Morais,755
E. Iordănescu,751
D. Arribagé,750
R. Maaskant,747
M. Frontzeck,746
V. Vlachos,746
P. Tami,745
M. Özdilek,743
R. Van Geneugden,740
K. Phiri,736
C. Sakkas,732
N. Panayiotou,732
S. Muslin,732
J. Halvorsen,730
E. Mombaerts,729
H. Silbas,727
E. Cohen,727
E. Cohen,727
A. Johnston,725
A. Viðarsson,722
P. Quatrocchi,720
C. Farías,720
A. Stanojević,719
L. Klusáček,718
R. Israel,716
D. Casas,714
G. Ivanov,713
José Viterbo,712
A. Yermakovich,708
P. Mastroeni,702
Hélio dos Anjos,700
Sergi Barjuan,700
Wagner Lopes,700
Guilherme Farinha,693
J. Medina III,690
A. Mendoza,690
P. Grigoraş,688
J. Comesaña,688
G. Festa,686
Z. Yiğit,684
L. Urban,684
E. Seçme,682
T. Marić,675
Zhu Jiong,675
N. Pavlov,673
N. Pavlov,673
M. Falero,666
S. Desabre,664
A. Ruiz,661
Nguyễn Thanh Sơn,660
E. Meza,658
S. Rusnák,653
E. Middendorp,653
J. Accorsi,650
J. Kostelnik,635
R. Martínez,634
Maqueda,634
I.Matić,633
W. Knaller,630
V. Abramov,629
C. Larsen,628
N. Meier,627
I. Baraclough,625
A. Solalinde,608
J. Vannuchi,606
A. Domb,605
R. Levy,604
H. Morishita,603
I. Galád,603
Vinícius Eutrópio,600
Milton Mendes,600
G. Georgiadis,596
S. Pantelidis,595
W. Cabrera,595
O. Guillou,592
Toni,590
V. Vermezović,588
K. Özdeş,585
A. Ogris,583
I. Cherevchenko,582
J. de la Pava,581
J. Omog,581
C. Makélélé,578
S. Escobar,578
J. Delgado,572
J. Castelli,571
Kwi-Jea Cho,571
S. Batista,567
H. Kolvidsson,565
G. Ogăraru,564
R. Mosquera,564
M. Fabuľa,555
H. Van Veldhoven,555
S. Mrkić,551
O. Taran,551
G. Teale,550
G. Zola,548
P. Bisoli,546
T. Cardenas,546
A. Franco,546
C. Barker,544
I. Shaki,544
G. Vanney,540
A. Barán,539
M. Saralegui,539
F. Curutchet,539
A. Linderoth,539
P. Penchev,535
R. Kučera,532
M. Cardetti,529
O. Kubarev,519
O. Guégan,519
M. Watson,517
S. Troughton,517
Ahmed Sary,516
R. Nelsen,516
J. Švehlík,516
M. Koretski,515
M. Solano,512
B. Živković,507
H. Dhaou,506
R. Evdokimov,504
P. Hansen,503
A. Stubbs,502
J. Fossati,501
H. Abdi,500
R. Gareca,500
Celso Roth,500
Mendilibar,500
R. Sikhakhane,491
P. Repetto,485
S. Lushchan,484
F. Da Cruz,481
S. Matić,476
S. Štrbac,476
Y. Sorimachi,476
B. Camacho,474
C. Dulca,468
C. Castro,467
A. Heath,466
D. Osella,464
J. Marsch,463
L. Šimčo,461
Cheng Yaodong,459
D. Okuka,459
N. Hrnčár,458
K. Barrantes,458
P. Troussier,455
A. García,455
Paulo César Gusmão,450
Sérgio Soares,450
Pintado,450
G. Schürrer,449
G. Schürrer,449
K. Kapuscinski,448
D. Terezopoulos,447
B. Djiourev,445
N. Milovanović,445
G. Bueno,444
S. Stojanovič,439
M. Teja,438
D. Wdowczyk,438
O. Pfister,437
Yang Ji,432
Y. Vural,429
Y. Okuma,429
I. Gamula,427
Carlos Brito,427
Jin-Ho Cho,425
D. Mutlu,420
R. Barborík,418
N. Andreou,416
F. León,415
R. González,414
R. Kristinsson,413
G. Bakke,413
J. Barrios,412
S. Mojsilović,412
G. Gattuso,410
O. Coyle,409
I. Balaur,406
Y. Petrov,405
J. Dries,405
Albert Ferrer,400
Fernandes,400
Marcelo Fernandes,400
Charles Fabian,400
N. Gudelj,398
V. Tița,392
S. Marshall,390
S. Kobayashi,390
G. Bowyer,390
S. Clarke,390
P. Parkinson,390
P. Parkinson,390
W. Gutiérrez,388
S. Krčmarević,387
K. Moskal,387
K. Ben Yahia,387
C. Ciccia,384
J. Paz García,384
T. Nordlie,382
V. Hansen,381
F. Gillot,378
D. Uhrin,372
Miller Gomes,372
R. Dutt,372
Y. Ünal,368
F. Özgün,368
B. Güneş,368
Ü. Karaman,368
I. Taşdemir,368
D. Milanič,366
N. Savichev,366
M. Ureña,366
E. Pimentel,365
M. van der Gaag,365
T. Banin,363
S. Eldad,362
F. Anselmo,360
J. Zielinski,360
J. Trejo,360
F. Kudelka,360
J. Bernal,359
Á. Gómez,356
F. Madida,354
B. Korkmaz,351
Ma Lin,351
M. Tot,351
M. Canning,350
N. Vanić,349
J. Tejera,349
N. Bergstrand,349
S. Le Mignan,347
M. Baciu,344
C. Bergodi,344
S. Stoilov,341
P. Houston,336
G. Paraschos,336
R. Olivas,333
L. Staelens,333
A. Harazi,332
A. Aït Djoudi,330
A. Mubiru,329
T. Tenev,327
N. Pumpido,326
A. Ben Ramadan,325
António Oliveira,325
S. Borovskiy,324
S. Borovskiy,324
R. Sigmundsson,320
J. Olsson,318
J. Olsson,318
J. Olsson,318
Abdullah Al Janoubi,317
C. Chiquillo,316
A. Yavuz,314
T. Sekizuka,314
E. Sözeri,314
M. Pezzaiuoli,313
D. Matei,312
Ö. Özen,312
E. Kondás,310
Quim Machado,309
M. Pavani,305
O. Babych,305
James Freitas,300
Gilmar Dall Pozzo,300
T. Saintfiet,300
Asier Santana,300
K. Tskhadadze,300
Wilsão,300
G. Locke,300
J. Sakala,299
O. Lederer,299
L. Molnár,299
C. Rosslee,299
H. Pfeifenberger,299
S. Billborn,298
M. van Basten,298
V. Kumykov,293
K. Poulsen,288
Daniel Ramos,287
V. Gazzaev,286
R. Warzycha,283
I. Prins,283
V. Lokica,281
Zé Maria,281
D. Munteanu,281
E. Corini,274
C. Johnson,272
Wang Baoshan,270
J. Sánchez Solá,270
R. Romano,270
C. Bustos,270
Gao Jinggang,270
M. Kalivoda,270
Á. Comizzo,270
N. Matushev,268
A. Velkov,268
M. Salas,267
F. López,266
Ö. Ataş,262
E. Altin,262
S. Vandenbroeck,261
P. Guede,260
P. Dermitzakis,260
A. Dupont,260
G. Brepoels,259
R. Ponte,259
A. Vosniadis,259
C. Michniewicz,257
C. Gentile,255
Z. Varga,254
I. Ganea,250
J. Everse,249
E. Hellemons,249
J. Vega,246
Z. Marques,246
W. Feeney,245
F. Alegre,240
E. Velev,239
T. Sivić,239
E. Carvajal,237
O. Isilar,234
C. Arslan,234
M. Dodić,231
L. Prokopec,228
C. Bernegger,228
