Manager,Ranking
Guardiola,17049
José Mourinho,16529
A. Ferguson,14268
R. Mancini,11814
André Villas-Boas,10896
A. Wenger,10195
Seong-Hyo Yoon,9339
R. Gareca,9278
Juan Garrido,9131
Kang-Hee Choi,9050
J. Heynckes,9031
Unai Emery,9013
Gregorio Manzano,9002
M. Vucetich,8685
Muricy Ramalho,8593
H. Redknapp,8592
Jorge Jesus,8499
Marcelo Oliveira,8100
R. Garcia,7573
Vanderlei Luxemburgo,7550
M. Allegri,7524
T. Pulis,7271
Tite,7254
W. Mazzarri,7123
T. Boy,7009
D. Deschamps,6860
A. Nishino,6755
G. Vázquez,6688
Luiz Felipe Scolari,6650
Caio Júnior,6615
D. Stojković,6489
F. Guidolin,6330
Leonardo,6243
M. Lucescu,6242
Yong-Soo Choi,6241
Y. Semin,6227
A. Kombouare,6224
F. Magath,6159
Oswaldo de Oliveira,6116
Vágner Mancini,6050
Domingos Paciência,6045
K. Dalglish,6036
J. Klopp,6017
Dorival Júnior,6010
Manuel José,6002
L. Spalletti,5937
Abel Braga,5855
Jorginho,5800
Sun-Hong Hwang,5779
Sun-Hong Hwang,5779
M. Pellegrini,5677
A. Mohamed,5573
E. Meza,5467
F. Rutten,5435
F. de Boer,5392
Ho-Gon Kim,5354
Levir Culpi,5329
Nélson Baptista,5328
V. Karpin,5308
V. Karpin,5308
Cuca,5300
A. Pardew,5300
D. Moyes,5300
M. Slomka,5219
E. Reja,5160
J. Falcioni,5032
L. Slutsky,4986
G. Schürrer,4916
G. Schürrer,4916
Joaquín Caparrós,4914
C. Ancelotti,4830
Tae-Yong Shin,4824
R. Dutt,4789
K. Berdyev,4746
Manuel Preciado,4729
Luis García,4678
Celso Roth,4632
Joel Santana,4600
M. Markevych,4566
J. Aguirre,4539
M. Preud'homme,4531
J. Fossati,4511
Ricardo Ferretti,4508
Kyung-Hoon Park,4500
F. Antonetti,4477
L. Favre,4428
B. Labbadia,4428
Mendilibar,4420
Quique Sánchez Flores,4409
G. Alfaro,4404
D. Aguirre,4389
C. Ranieri,4387
T. Schaaf,4372
N. Lennon,4363
R. Hodgson,4324
Ik-Soo Ahn,4292
M. McCarthy,4200
A. McLeish,4150
L. van Gaal,4146
A. Jacobs,4145
M. Teguramori,4144
K. Kimura,4144
S. Schmid,4133
B. Arena,4131
O. Coyle,4100
R. Arruabarrena,4070
R. Arruabarrena,4070
G. Calderón,4046
Tarek El Ashri,4042
Adilson Batista,4040
Hae-Seong Jung,4037
D. Rossi,4019
R. Girard,4019
D. Simeone,3944
S. Güneş,3943
G. Verbeek,3942
C. Gourcuff,3915
N. Maâloul,3841
Ó. Ramírez,3836
I. Jovanović,3832
C. Reinoso,3821
D. Hecking,3813
Cristóvão Borges,3808
S. Bruce,3800
R. Rangnick,3774
M. Kurz,3733
J. Sampaoli,3710
M. Petrović,3700
Ernesto Valverde,3645
B. Galindo,3640
José Couceiro,3634
T. Tuchel,3614
Renato Gaúcho,3602
Roberto Martínez,3600
S. Mihajlović,3570
Jin-Han Choi,3570
P. Troglio,3564
J. Osorio,3549
P. Garande,3537
G. Pérez,3532
M. Yanagishita,3478
O. De Felippe,3478
A. Malesani,3468
V. Hizo,3431
E. Roy,3430
A. Kocaman,3430
J. Cruz,3419
M. Wada,3404
Míchel,3401
M. Hughes,3400
M. Hughes,3400
Lotina,3395
José Luis Oltra,3393
E. Bauza,3389
F. Gillot,3388
T. Fink,3372
T. Fink,3372
Tarek Yehia,3354
A. Ghotbi,3330
J. Kreis,3328
M. Ficcadenti,3328
H. Torres,3313
P. Montanier,3310
C. Galtier,3308
A. Casanova,3302
J. Real,3275
L. Bölöni,3261
J. Romero,3256
N. Soma,3256
M. Skorża,3252
Hélio dos Anjos,3200
S. Kean,3200
P. Vrba,3192
V. Montella,3179
L. Delneri,3153
M. Herrera,3134
L. Astrada,3130
J. Suzuki,3108
J. Suzuki,3108
J. Suzuki,3108
R. Garde,3090
E. Levy,3084
S. Pioli,3080
S. Solbakken,3074
C. Adriaanse,3064
Jesualdo Ferreira,2978
Man-Hee Choi,2975
R. Nilsson,2968
Pizzi,2958
R. Maaskant,2951
Talaat Youssef,2924
N. Pavlov,2920
N. Pavlov,2920
S. Hyndman,2912
Givanildo Oliveira,2900
I. Ambriz,2889
H. Kurosaki,2886
S. Silkin,2886
Juande Ramos,2886
R. Díaz,2874
C. Puel,2843
J. van den Brom,2822
Young-Jin Lee,2805
M. Laudrup,2801
M. Russo,2786
M. Ebrahimzadeh,2764
J. Fernandez,2753
E. Trossero,2742
M. Bielsa,2740
A. Haan,2739
M. Jol,2737
J. Alvarez,2722
Jung-Moo Huh,2720
H. Clausen,2717
A. Stanojević,2712
Anwar Salama,2666
K. Jarolím,2652
Pedro Martins,2648
D. Petrescu,2600
Antônio Lopes,2600
W. Meeuws,2580
A. Winter,2578
D. Davidović,2576
A. Grant,2550
P. Huistra,2530
P. Huistra,2530
M. Lasarte,2522
Manolo Jiménez,2520
D. Munteanu,2517
A. Ghalenoei,2514
Vítor Pereira,2505
Juan Ignacio Martínez,2470
E. Sağlam,2467
C. Pustai,2466
Leonardo Jardim,2462
D. Kashtan,2457
M. Sciacqua,2442
S. Muslin,2423
K. Daxbacher,2422
P. Bosz,2416
J. Riga,2414
Farouk Gaffar,2408
G. Riddersholm,2383
R. Moniz,2379
H. Stanislawski,2376
A. Dupont,2357
F. Emordi,2354
René Simões,2350
Helmi Toulan,2322
H. Stevens,2318
O. Asad,2304
G. Houllier,2300
I. Chavos,2295
W. Smith,2278
L. De Canio,2262
T. Kafkas,2241
José Bakero,2236
Toni,2235
D. Cocca,2231
P. Ljung,2230
J. López,2220
Rui Vitória,2216
D. Di Carlo,2212
F. Colomba,2212
G. Donis,2202
J. Burruchaga,2198
Mohamed Radwan,2193
M. Radukanov,2190
R. Donadoni,2184
P. Houston,2178
E. Berizzo,2176
F. Foda,2169
O. Lenczyk,2167
M. Decastel,2162
Alexandre Gallo,2160
J. Carrasco,2155
H. Van Veldhoven,2154
Z. Petrović,2146
R. Zielinski,2146
D. D'Onofrio,2142
R. Páez,2136
G. Gadzhiev,2132
Y. Maksimov,2109
Pepe Mel,2107
