Manager,Ranking
Guardiola,17641
José Mourinho,15664
J. Heynckes,12047
R. Mancini,12029
M. Bielsa,10734
A. Ferguson,10594
D. Simeone,10519
Unai Emery,10405
A. Wenger,10141
H. Redknapp,9445
Seong-Hyo Yoon,9255
Tite,8873
R. Gareca,8546
M. Allegri,8462
J. Klopp,8306
J. Falcioni,8300
Abel Braga,8159
Muricy Ramalho,8030
W. Mazzarri,7744
Vanderlei Luxemburgo,7712
Caio Júnior,7707
Marcelo Oliveira,7650
R. Garde,7639
Ho-Gon Kim,7568
Yong-Soo Choi,7386
Jorge Jesus,7321
D. Stojković,7135
Sun-Hong Hwang,7064
Sun-Hong Hwang,7064
M. Vucetich,7061
André Villas-Boas,6922
Dorival Júnior,6888
A. Conte,6825
A. Pardew,6700
G. Schürrer,6666
G. Schürrer,6666
R. Di Matteo,6635
D. Deschamps,6623
T. Pulis,6571
K. Dalglish,6550
Manuel José,6543
M. Jol,6516
D. Moyes,6500
J. Sampaoli,6464
Kang-Hee Choi,6432
F. Guidolin,6428
Jorginho,6392
Tae-Yong Shin,6330
Nélson Baptista,6289
M. Slomka,6219
H. Stevens,6023
G. Verbeek,5942
Ernesto Valverde,5940
R. Garcia,5920
L. Spalletti,5830
E. Reja,5761
M. Lucescu,5720
Tarek El Ashri,5676
Juan Ignacio Martínez,5652
M. Pellegrini,5607
M. Markevych,5585
Joel Santana,5532
Vítor Pereira,5520
K. Berdyev,5498
G. Alfaro,5464
Mendilibar,5421
Hassan Shehata,5395
K. Jarolím,5304
Joaquín Caparrós,5264
Cristóvão Borges,5261
P. Montanier,5217
B. Galindo,5197
R. Girard,5177
C. Ranieri,5160
F. Antonetti,5143
F. Antonetti,5143
M. Teguramori,5143
Ik-Soo Ahn,5142
A. Ghotbi,5032
J. Burruchaga,5025
Y. Semin,4928
S. Schmid,4915
Leonardo Jardim,4908
Roberto Martínez,4900
Ricardo Gomes,4850
T. Boy,4847
R. Hodgson,4800
A. Nishino,4736
L. Slutsky,4713
P. Lambert,4700
B. Rodgers,4700
Levir Culpi,4660
F. de Boer,4654
R. Arruabarrena,4625
R. Arruabarrena,4625
B. Labbadia,4600
Luis García,4562
Vágner Mancini,4550
R. Dutt,4541
F. Rutten,4490
I. Jovanović,4472
Pepe Mel,4465
A. Jacobs,4377
Gregorio Manzano,4327
Luis Enrique,4289
Kyung-Hoon Park,4250
B. Arena,4176
N. Lennon,4172
G. Vázquez,4162
José Ramón Sandoval,4085
Domingos Paciência,4069
J. Riga,4056
O. Coyle,4050
L. Bölöni,4048
S. Güneş,4001
M. O'Neill,4000
F. Gillot,3986
A. Kocaman,3972
R. Zielinski,3922
G. Sannino,3920
