Manager,Ranking
S. Stojanovič,2460
P. Hansen,2446
U. Meier,2440
N. Pavlov,2438
N. Pavlov,2438
J. Valovič,2424
T. Korkut,2424
H. Faraki,2422
H. Vanhaezebrouck,2419
K. Jarolím,2404
V. Goncharenko,2393
F. Vanderbiest,2381
C. Pustai,2380
T. Kafkas,2367
S. Arveladze,2366
F. Curutchet,2351
H. Renard,2345
J. Trejo,2340
S. Mihajlović,2336
C. Seedorf,2336
U. Forte,2335
D. Stojković,2335
R. Norling,2313
J. Anigo,2312
O. Sevidov,2293
S. Vergetis,2279
G. Solinas,2257
H. Jofuku,2252
J. Luna,2250
A. Ghalenoei,2231
N. Zekri,2221
N. Bjelica,2221
Argel Fucks,2200
Sá Pinto,2199
C. Bernegger,2162
M. Teguramori,2160
E. Sağlam,2146
Gong Lei,2144
E. Sağlam,2146
Gong Lei,2144
E. Gerets,2144
J. de Jonge,2138
G. Almada,2120
F. Booy,2118
V. Baskakov,2118
R. Deila,2091
D. Kinnear,2089
T. Schneider,2080
V. Grozny,2080
A. Janssen,2077
V. Kvartsyanyi,2073
Sabri Al Menyawi,2073
Jorge Costa,2068
T. Wright,2058
R. Skuhravý,2054
Jong-Chul Baek,2050
L. Minář,2047
E. Corini,2042
M. Dodić,2034
M. Rednic,2034
M. Rumak,2031
A. Alm,2029
G. Riddersholm,2005
L. Ramos,1997
K. Hjulmand,1994
Z. Dalic,1987
N. Gudelj,1952
D. Lodeweges,1951
D. McInnes,1949
A. Arias,1948
P. Hubchev,1929
E. Levy,1923
I. Petković,1920
H. Torres,1919
J. Jarábek,1917
L. Álvarez,1916
M. Solano,1911
T. Popović,1908
T. Boy,1890
G. Monk,1886
E. Baup,1873
E. Villegas,1864
S. Mladenov,1851
F. Mazzù,1833
In-Wan Kim,1831
M. Stahre,1809
I. Chavos,1806
P. Mosimane,1802
R. Merlo,1800
J. Real,1800
L. Kozel,1787
J. McNamara,1786
E. Koeman,1785
A. Jacobs,1781
R. Rakhimov,1771
A. Mantzios,1763
R. Ben Shimon,1758
R. González,1755
B. Barak,1752
V. Rašović,1751
S. McCall,1750
M. Özdilek,1748
R. Courbis,1742
T. Frank,1721
A. Guľa,1716
D. Milanič,1711
S. Schmid,1707
J. Sierra,1702
N. Maâloul,1695
G. Hadzhievski,1678
G. Matzourakis,1677
Z. Zagorčić,1674
Aleksandr Stankov,1673
C. Daum,1663
P. Gerhardsson,1643
R. Tarasiewicz,1642
L. Staelens,1639
J. Heaps,1636
G. Petrakis,1634
Z. Ščasný,1630
D. Osella,1620
B. van Marwijk,1619
U. Tütüneker,1618
P. Olsson,1616
S. Lewandowski,1612
J. Kreis,1612
C. Porter,1611
A. Tsygankov,1603
W. Zenga,1603
M. Mackay,1602
K. Muscat,1590
A. Hütter,1587
G. Tufegdžić,1587
K. Ingesson,1567
F. Stoican,1564
G. Georgiadis,1564
G. Ivanov,1563
S. Habanec,1559
G. Hunt,1555
Clemer,1550
Fernando Jubero,1544
D. Ioannou,1544
S. Menzo,1541
Yong-Kab Kim,1539
G. Caballero,1530
M. Watson,1524
D. Munteanu,1523
J. Grindhaug,1519
S. Clarke,1513
J. Delgado,1500
M. Haglund,1500
Carpegiani,1500
Carpegiani,1500
M. Petke,1500
N. Otero,1498
J. Sánchez Solá,1488
Juan Garrido,1481
V. Kotal,1480
D. Wdowczyk,1468
K. Jonevret,1461
R. Hansen,1461
J. Omog,1446
A. Freese,1436
M. Angerschmid,1431
A. Barán,1427
Z. Milinković,1424
R. Weiler,1423
J. Heynckes,1422
K. Rekdal,1413
Abel Braga,1412
Jalal Qaderi,1406
M. Kanzari,1404
Vadão,1400
L. Ammouta,1388
T. Bech,1388
D. Dimitrov,1387
C. Johnson,1379
C. Castro,1378
R. Látal,1368
J. Vukušič,1364
Helmi Toulan,1364
V. Milojević,1364
M. Brys,1364
J. Lennartsson,1364
D. Fagermo,1364
O. Buruk,1356
M. Balbul,1350
S. Eriksson,1350
R. Forestello,1344
M. López,1339
S. Genov,1336
Lito Vidigal,1334
R. Dostanic,1333
E. Favaro,1333
M. Ouzounidis,1333
L. Søndergaard,1332
Ó. Pareja,1332
J. Falcioni,1332
L. Hudec,1321
N. Hrnčár,1321
M. Kek,1321
Abdel El Doumany,1318
S. Aybaba,1315
F. Klopas,1309
P. Høgmo,1307
P. Swärdh,1301
J. Jönsson,1301
Marcelo Martelotte,1300
P. Stokowiec,1292
I. Rakhayev,1291
V. Miriuță,1287
M. Mjelde,1286
H. Fraser,1282
A. Stanojević,1280
G. Galderisi,1275
E. Pagáč,1274
Y. Kalitvintsev,1273
J. Andersson,1269
A. Tarkhanov,1267
Henrique Calisto,1263
C. Barra,1260
P. Marini,1260
O. Pedersen,1250
S. Pantelidis,1247
M. Probierz,1244
M. Jol,1243
D. Bekvalac,1239
H. Karaman,1238
H. Pfeifenberger,1238
J. Tejera,1237
N. Bergstrand,1237
W. Knaller,1236
F. Smuda,1235
J. Kocian,1234
R. Israel,1229
E. Middendorp,1226
Ismail Youssef,1224
S. Levý,1223
M. Radukanov,1212
Mohamed Wahba,1211
L. Sanchez,1204
L. Ciobotariu,1202
R. Rodríguez,1200
C. Barker,1200
H. García,1198
D. Kanatlarovski,1194
S. Tsiolis,1191
I. Andone,1181
S. Yalçın,1180
S. Papadopoulos,1180
M. Jacquet,1173
R. Arruabarrena,1172
R. Arruabarrena,1172
V. Kumykov,1171
T. Caanen,1169
R. Gamarra,1168
S. Pioli,1166
Gao Hongbo,1161
J. Sánchez,1159
L. Stamenković,1159
M. Brosz,1155
J. Giacone,1151
C. Rosslee,1145
Z. Krmpotić,1143
B. Vintilă,1142
A. Šimundža,1136
A. Ilić,1135
F. Magath,1131
T. Butcher,1125
J. Hackworth,1124
P. Sørensen,1121
N. Klinger,1121
S. Desabre,1118
Z. Kranjčar,1115
M. Steijn,1114
C. Dulca,1112
Raúl Möller,1112
C. Olăroiu,1111
Adilson Batista,1100
Silvio Criciúma,1100
F. Çapa,1097
H. Cárdenas,1096
S. Komphela,1096
