Home,Away
  'West Ham United',  'Arsenal'
 'Wolverhampton Wanderers',  'Brighton & Hove Albion'
 'Arsenal',  'Leeds United'
 'Brentford',  'Southampton'
 'Brighton & Hove Albion',  'Manchester United'
 'Burnley',  'Aston Villa'
 'Chelsea',  'Wolverhampton Wanderers'
 'Crystal Palace',  'Watford'
 'Leicester City',  'Everton'
 'Liverpool',  'Tottenham Hotspur'
 'Manchester City',  'Newcastle United'
 'Norwich City',   'West Ham United'
 'Aston Villa',  'Crystal Palace'
 'Everton',  'Brentford'
 'Leeds United',  'Brighton & Hove Albion'
 'Manchester United',  'Chelsea'
 'Newcastle United',  'Arsenal'
 'Southampton',  'Liverpool'
 'Tottenham Hotspur',  'Burnley'
 'Watford',  'Leicester City'
  'West Ham United',  'Manchester City'
 'Wolverhampton Wanderers',  'Norwich City'
 'Arsenal',  'Everton'
 'Brentford',  'Leeds United'
 'Brighton & Hove Albion',   'West Ham United'
 'Burnley',  'Newcastle United'
 'Chelsea',  'Watford'
 'Crystal Palace',  'Manchester United'
 'Leicester City',  'Southampton'
 'Liverpool',  'Wolverhampton Wanderers'
 'Manchester City',  'Aston Villa'
 'Norwich City',  'Tottenham Hotspur'
