home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_streak,away_team_best_perf,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_streak,diff_team_best_perf
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,8.0,10.0,9.0,9.0,60.0,84.66666666666667,8.0,7.0,18.0
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,6.0,10.0,8.0,8.0,25.999999999999993,33.33333333333333,13.0,16.0,9.0
72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,0.0,0.0,1.0,-1.0,-42.0,-55.333333333333336,-10.0,-10.0,-15.0
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,5.0,8.0,9.0,8.0,19.333333333333336,22.0,10.0,10.0,6.0
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,0.0,-6.0,-4.0,-4.0,-0.3333333333333286,-5.666666666666666,11.0,11.0,2.0
75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,-1.0,1.0,-1.0,-1.0,-4.0,-6.5,3.0,-3.0,0.0
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,-7.0,-4.0,-7.0,-5.0,-26.333333333333336,-49.333333333333336,-1.0,-2.0,-9.0
72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,79.0,76.0,77.0,78.0,45.0,-8.5,17,2,15,-2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,3.0,3.0,4.0,3.0,-4.0,-4.333333333333333,10.0,10.0,2.0
78.0,78.0,75.0,76.0,59.0,8.0,4,1,16,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,7.0,7.0,2.0,4.0,18.0,32.66666666666667,-2.0,-5.0,5.0
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,3.0,6.0,2.0,3.0,-0.6666666666666714,-10.0,10.0,10.0,1.0
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,20,20,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,1.0,3.0,1.0,2.0,-11.333333333333329,-27.000000000000004,10.0,10.0,0.0
76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,9,15,72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,-6.0,-7.0,-5.0,-5.0,-16.333333333333336,-28.333333333333336,3.0,-1.0,-2.0
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,-5.0,-5.0,-1.0,-3.0,-31.0,-49.33333333333333,10.0,10.0,-3.0
79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,9,15,74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,3.0,6.0,7.0,6.0,12.5,22.666666666666668,12.0,8.0,5.0
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,3.0,-1.0,3.0,2.0,-5.333333333333329,0.33333333333333215,-6.0,-6.0,-9.0
84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,3.0,8.0,10.0,8.0,48.33333333333333,73.33333333333334,10.0,18.0,2.0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,-8.0,-4.0,-4.0,-5.0,-27.333333333333336,-51.33333333333333,-3.0,-5.0,-6.0
