Manager,Ranking
G. Gadzhiev,2120
Pedro Emanuel,2114
I. Juric,2104
J. Lennartsson,2100
José Couceiro,2098
G. Martusciello,2094
Luís Castro,2090
Sérgio Conceição,2082
Juande Ramos,2074
I. Vukomanović,2071
A. Kocaman,2058
Ma Lin,2052
Woe-Ryong Chang,2035
Nuno Santos,2035
Ki-Hyung Lee,2033
D. Nicola,2025
P. Dupraz,2023
P. Vermes,2021
B. Páník,2006
J. Pumpido,1996
M. Ševela,1994
M. Baum,1992
V. Skripchenko,1991
G. Lwandamina,1964
Míchel,1960
Jia Xiuquan,1957
Alaa Abdelaal,1951
J. Bernal,1947
J. Michelsen,1941
M. Babbel,1938
E. Baumeister,1931
L. Grozavu,1931
Miguel Leal,1925
N. Bjelica,1923
C. Pustai,1911
R. Norling,1909
Tae-Ha Park,1905
Soon-Ho Choi,1902
V. Genes,1886
K. Özdeş,1879
J. Stegeman,1875
M. Ouzounidis,1873
C. Díaz,1872
D. Šmejkal,1863
Rubí,1862
I. Popa,1849
S. Allardyce,1838
P. Clement,1838
M. Vucetich,1834
Hak-Beom Kim,1828
P. Garande,1823
R. Çalımbay,1822
R. Valiño,1809
R. Evdokimov,1804
S. Bueno,1802
F. Passi,1797
P. Vieira,1793
E. Yanal,1792
G. Almada,1791
Myung-Bo Hong,1785
O. Dall’Oglio,1772
Jang-Soo Lee,1769
D. Fagermo,1769
L. Zubeldía,1767
G. Poyet,1765
Lucas Alcaraz,1764
J. Heaps,1764
H. Rivera,1764
Paco Jémez,1749
Karanka,1746
M. Hoseini,1746
C. Farías,1744
S. Guzmán,1743
Enderson Moreira,1740
N. Córdova,1738
A. Tomash,1734
G. Arnold,1722
J. Streppel,1721
J. Carver,1720
H. Bodhert,1716
G. Potter,1703
M. Karhan,1700
D. Moyes,1700
Ismael Rescalvo,1699
M. Büskens,1693
L. Nilsen,1692
N. Kirov,1691
M. Probierz,1691
P. Zeidler,1689
A. Boyacá,1682
N. Beyaoui,1681
G. Bakke,1679
A. Čustović,1676
V. Milojević,1670
Pepe Mel,1666
J. Aloisi,1663
M. Biello,1655
Pepa,1654
I. Tudor,1651
C. Gâlcă,1651
B. Arena,1638
R. Hake,1629
P. Christodoulou,1623
P. Stokowiec,1622
R. Hernández,1622
P. Vasiljević,1617
P. Nowak,1615
P. Nowak,1615
D. Holoubek,1607
Fabiano Soares,1603
Fábio Carille,1603
M. Russo,1602
R. Levy,1602
T. Fredriksen,1598
Y. Ferrera,1597
N. Hrnčár,1593
B. Schmetzer,1593
N. Milovanović,1587
Sami Al Jaber,1574
J. Olde Riekerink,1570
Y. Kazama,1562
R. Lucescu,1561
E. Mombaerts,1560
Nélson Baptista,1555
F. Al Jabal,1555
V. Paunovic,1555
E. Faber,1553
Ricardo Soares,1541
E. Tinkler,1540
K. Németh,1534
K. Refua,1520
A. Apud,1503
A. Pastoor,1502
N. Gorosito,1498
M. Sciacqua,1497
Ó. Kristjánsson,1494
F. Foda,1490
P. Vrba,1485
T. Shimotaira,1485
E. Neagoe,1483
Guto Ferreira,1479
Milton Mendes,1479
G. Ivanov,1475
J. Cardozo,1466
O. Dulub,1464
T. Oniki,1459
Jordi Condom,1449
Hélio dos Anjos,1447
G. Hunt,1445
T. Wright,1437
Vasco Seabra,1430
P. Marini,1429
A. Stramaccioni,1427
K. Moskal,1426
T. Boy,1424
E. Meza,1424
J. Giordano,1423
B. Casoni,1421
A. Kuhn,1420
R. Mosquera,1416
Manolo Jiménez,1412
T. Frings,1411
M. Ficcadenti,1406
L. Kuchuk,1403
J. Curtin,1400
B. Olsen,1397
P. Mastroeni,1396
K. Hjulmand,1392
T. Popović,1390
H. Moriyasu,1381
M. Haglund,1380
A. Miklyaev,1366
M. Rastavac,1364
R. Ben Shimon,1362
Q. Qurbanov,1361
G. Matosas,1355
F. de Boer,1355
Z. Ščasný,1354
S. Semak,1350
Vinícius Eutrópio,1349
Marco Silva,1347
M. van der Gaag,1339
V. Ismaël,1328
M. Fabuľa,1327
J. Weber,1323
I. Andone,1320
Jaime Pacheco,1309
D. Canadi,1309
K. Nielsen,1307
E. Bauza,1305
E. van de Looi,1301
Y. Abukasis,1300
G. Paraschos,1298
A. Šoltís,1295
J. Zinnbauer,1294
J. de la Pava,1287
H. Shibuya,1284
J. Hynek,1282
J. Chávez,1280
H. Grondona,1272
Quim Machado,1265
G. Riddersholm,1265
G. Berhalter,1265
R. Jans,1264
I. Ambriz,1260
S. Kiryakov,1260
G. Petrakis,1259
Z. Kranjčar,1256
J. Lozano,1253
A. Arias,1251
M. Pellegrini,1250
J. Burruchaga,1247
S. Mimer,1247
A. Jonker,1245
S. Baxter,1245
S. Habanec,1244
T. Sripan,1243
Julio Velázquez,1239
Doriva,1237
A. Chernyshov,1235
E. Almeida,1232
P. Tami,1228
I. Leko,1227
H. Hamzaoğlu,1226
Y. Vanderhaeghe,1222
R. Kristinsson,1219
Petit,1215
B. Ingebretsen,1214
M. Jalali,1212
B. Flovik,1209
S. Levý,1207
C. Olăroiu,1207
Y. Anastasiou,1191
Abelardo,1190
Tae-Wan Kim,1190
D. Ivanović,1189
M. Kaczmarek,1186
M. Kaczmarek,1186
D. Alexa,1186
H. Esquivel,1182
R. Torres,1180
P. Donev,1178
D. Schuster,1174
Augusto Inácio,1174
S. Watanabe,1172
P. Swärdh,1166
P. Sørensen,1165
F. Ortiz,1163
T. Korkut,1158
U. Forte,1155
A. Archibald,1151
K. Muscat,1151
M. Saralegui,1143
N. Morales,1143
J. McIntyre,1141
M. Dempsey,1135
F. Hantz,1134
V. Ivanauskas,1133
S. Avgousti,1132
Daniel Paulista,1131
H. Yanev,1125
C. Mayor,1123
A. Bobadilla,1123
T. Wilman,1110
J. Mølby,1110
F. Celestini,1108
K. Jonevret,1106
Jalal Qaderi,1106
G. Niciński,1104
P. Carteron,1103
Yun-Kyum Choi,1098
O. Solskjær,1097
M. Koubek,1093
S. Komphela,1088
M. Caballero,1088
F. Ciccolini,1088
J. Cassar,1087
Li Tie,1085
A. Pardew,1078
S. Poursaitidis,1078
Y. Shinoda,1075
J. Campos,1075
E. Bakke,1071
D. Kinnear,1066
M. Warburton,1066
J. Thelin,1065
D. Wdowczyk,1061
Li Jinyu,1057
H. Castellón,1056
A. Daei,1048
S. Belchev,1044
Tite,1044
V. Dohadaylo,1044
T. Ivković,1041
A. Mendoza,1039
Ü. Özat,1036
F. Kamalvand,1031
B. Henriksen,1026
K. Rekdal,1026
Xie Feng,1026
P. Tramezzani,1023
B. Van Lancker,1022
Amor,1019
S. Stoilov,1018
E. Villalba,1016
J. Sanguinetti,1016
J. Puente,1015
P. Hyballa,1015
P. Tiscornia,1015
P. Rada,1009
Z. Klucký,1008
H. Torres,1006
A. Veysi,1001
C. Contra,1000
N. Martides,1000
L. Louka,1000
L. Precone,998
M. Pušnik,996
S. Vergetis,993
G. Contini,991
José Gomes,990
H. Pfeifenberger,990
J. Zielinski,985
M. Canning,980
R. Monarev,976
H. Silbas,976
N. Sadavi,973
E. Schattorie,968
J. Giacone,962
N. Otero,957
G. Solinas,957
M. Salas,955
M. Grigoriou,954
B. Hasi,951
M. Mohajeri,946
M. Radványi,945
R. Martínez,944
H. Marecos,942
M. Svědík,930
J. Kreis,921
N. Bergstrand,917
C. Michniewicz,916
T. Kafkas,914
P. Gerhardsson,911
A. Axén,911
C. Ayala,906
S. Kenny,899
F. Spasov,899
E. Cohen,898
E. Cohen,898
H. Faraki,895
L. Petrović,891
D. Todoran,887
C. Reinoso,884
J. Luna,884
Tuca Guimarães,882
J. Saibene,874
P. Grigoraş,874
D. Franco,873
F. Sava,873
Y. Naim,869
T. Yoshida,869
L. Kalvoda,862
N. Vanić,860
B. Akrapović,860
H. Lisi,858
W. Fornalik,858
G. Luzon,853
R. Grigorchuk,852
V. Petrakov,850
J. Vera,846
R. Foran,845
José González,844
J. Santa,841
A. Bjørkan,841
R. Meulensteen,832
J. Fallmann,832
N. Petrović,830
Guilherme Farinha,829
C. Larsen,827
K. Lowe,823
R. Neilson,822
H. Nanami,819
J. Mathijssen,818
Khalid Al Koroni,810
M. Veselinović,808
S. Pantelidis,804
A. Marfavi,802
D. Gavilán,801
D. Gavilán,801
V. Kvartsyanyi,799
S. Traore,799
M. Mentel,796
D. Barragán,793
L. Álvarez,792
C. Niculescu,786
S. Sušić,785
Antônio Carlos Zago,784
B. McKinlay,784
J. Gasset,784
P. Collot,784
Marquinhos Santos,783
G. Schürrer,776
G. Schürrer,776
V. Rašović,775
L. Søndergaard,772
C. Johnson,772
Nuno Capucho,771
Seon-Ho Song,766
M. Jara,761
O. Kononov,759
F. Cannavaro,757
A. Groenendijk,756
M. Laudrup,750
D. Kirichenko,745
P. Hartley,743
S. Menzo,739
H. de Koning,726
M. Radukanov,725
J. Cedergren,721
S. Lamouchi,703
L. Elsner,698
V. Ivanov,696
Adriano Teixeira,696
André Jardine,696
Marcio Goiano,696
K. Berdyev,695
J. Palacios,693
D. Corredor,693
Enrique Martín,692
S. Genov,691
T. Andersson,691
F. León,690
F. Stoican,689
D. Farrar,689
N. Panayiotou,678
G. Baumgartner,676
N. Yehezkel,675
N. Meier,673
M. Stahre,667
E. Eranosyan,667
N. Napoli,664
Abel Braga,657
J. Urban,656
C. Todd,656
A. Bertoldi,654
M. Pehrsson,651
Z. Govedarica,650
H. Kalpar,650
D. Golan,648
R. Girard,645
G. Landau,637
Kwi-Jea Cho,631
Č. Janevski,629
J. Bodmer,627
R. Dostanic,626
M. Frimmel,625
W. Grabherr,624
R. Caruso Lombardi,624
B. Ben Zaken,622
L. Clark,621
Z. Petrović,619
E. Iordănescu,616
José Mota,614
J. Gall,613
Manuel Machado,611
In-Soo Kim,610
O. Quintabani,609
E. Topuzakov,609
D. Belkacem,609
H. Vargas,608
A. Manzo,604
J. Jarábek,603
Raúl Möller,602
A. Grigoryan,600
M. McGhee,596
D. Eleftheropoulos,595
G. Korakakis,595
Carlos Corberan,594
M. Koretski,594
H. Cárdenas,594
J. Vivaldo,594
L. Eymael,591
F. Marin,590
C. Prandelli,588
V. Alvarado,584
M. Palermo,581
I. Jovanović,580
J. Aguirre,579
H. Karaman,576
M. Dodić,575
Kiko Ramírez,575
G. Matzourakis,567
V. Zvunka,566
B. Bradley,566
N. Acosta,561
D. Farías,560
M. Rumak,559
Carlos Pinto,558
S. Sakuma,558
D. Buckingham,558
H. Özer,554
H. Jofuku,553
F. Antonetti,551
K. Thobejane,550
Hyun-Joon Son,549
Gilson Kleina,548
D. Malesela,547
I. Yordanov,546
L. Bohinen,546
P. Okon,544
M. Bílek,543
M. Bílek,543
G. Ferrín,540
F. Araújo,540
Rui Almeida,539
A. Loberto,537
B. Uygun,536
I. Iliev,535
O. Buruk,535
O. Durán,528
C. Barato,528
T. Ordinas,527
S. Lushchan,526
S. Nazaruk,525
E. Rivera,525
C. Benbennek,524
D. Bortoluzzi,522
Pintado,522
T. Lemonis,520
Li Bing,519
N. Dastneshan,512
E. Saragó,512
J. Kostelnik,511
R. Israel,511
I. Cathro,507
K. Tobias,503
K. Madoui,503
Y. Mizrahi,500
H. Ertürk,500
H. Garelli,499
B. Živković,499
H. Berg,497
K. Bergstrand,496
I. Kolev,495
Pedro Caixinha,494
Toni,493
J. Comesaña,493
A. Heath,492
R. Chale,492
M. Romero,490
M. Jones,488
M. Jones,488
M. Jones,488
Hassan Shehata,486
H. Larsson,486
Tarek Yehia,486
J. da Silva,482
J. da Silva,482
M. Rednic,481
D. Milanič,480
M. Wright,479
E. Săndoi,477
S. Tsiolis,477
M. Noe Bashar,473
G. Iachini,467
M. Wieghorst,466
Moreira,465
O. Melkemichel,465
Benito Floro,465
W. Cabrera,459
T. Kashtan,459
Bruno Baltazar,458
J. Maduka,458
D. Uhrin,457
C. Nørgaard,453
P. Aigbogun,449
E. Sánchez,448
José Galiana,445
T. Požár,445
F.Karimi,438
C. Bernegger,437
H. Kutlu,434
H. Kutlu,434
José Morais,432
Adel Abdulrahman,431
N. Lennon,429
A. García,429
S. Pavlov,428
F. Vercauteren,427
Luis Pimenta,426
Tang Jing,422
D. Okuka,421
Hamad Al Dossari,419
L. Rocco,414
G. De Boeck,413
D. Garzitto,412
J. Fuentes,412
M. Bakkal,411
L. Hadjiloukas,406
N. Mitov,406
I. Üzülmez,404
R. Deila,403
İ. Kartal,400
H. Schönhauser,400
M. Oddo,396
L. McCulloch,396
G. Igesund,393
L. Şahin,393
Itamar Schülle,392
T. Ketsbaia,392
Hemerson Maria,392
Z. Frťala,392
S. Vecchi,392
Liu Junwei,390
S. Schmid,389
P. Put,387
J. Jinoch,387
V. Velikov,386
S. Širmelis,384
A. Rybarski,383
F. Šturma,381
Pablo Caballero,381
M. Solano,381
D. Nowak,380
F. Benzarti,380
S. Agnew,379
G. Leekens,377
Sang-Beom Koo,377
N. Larcamón,375
S. Vreven,375
S. Rondina,375
N. Apuzzo,374
F. Kazemi,374
J. Barbas,374
W. Perazzo,374
C. Bassedas,374
I. Atalan,374
L. Fernández,374
J. Jönsson,373
M. Valkanis,373
E. Horneland,372
G. Martino,372
A. Erlandsen,372
S. Zaytsev,372
M. Lešnjak,370
M. Vukotić,367
R. Zabranskiy,366
I. Vastić,365
D. Zamora,364
F. Arce,363
J. Ribas,363
A. Yermakovich,363
L. Tena,360
M. Meléndez,359
I. Chavos,357
J. Caulfield,352
D. Besek,350
G. Djuricin,350
R. Skuhravý,348
Lisca,348
S. Pedersen,347
S. Robinson,346
E. Rodríguez,344
C. Michelsen,341
R. Látal,338
L. Ammouta,337
A. Misaghian,335
H. Regragui,334
R. De Zerbi,334
C. Onalfo,332
J. Reynoso,330
M. García,330
P. Jokanovic,330
R. Villamizar,330
G. Christopoulos,328
C. Harrison,326
D. López,326
J. van 't Schip,325
J. van 't Schip,325
S. Krunić,325
E. Arin,323
M. Tapia,322
Z. Barisic,322
A. Dimitrov,319
G. Murty,319
K. Jarolím,319
E. Arias,318
N. Harris,318
D. Cowley,318
R. Olivas,317
D. Fernández,317
G. Pérez,316
I. Kriushenko,316
A. Palacios,316
L. Chabbi,312
L. Sörensen,310
T. Skullerud,310
M. Jantek,309
A. Mubiru,309
S. Kobayashi,308
M. Ihara,308
P. Guede,307
T. Sithole,305
S. Varga,303
P.Gergely,303
K. Belhocine,302
Y. Petrov,301
S. Ripoll,300
T. Grafas,299
B. Đurovski,298
P. Sarmiento,297
R. Hernández,295
Marcelino,294
A. Camplone,294
E. Vásquez,292
R. Pereira,290
A. Coria,290
V. Voynov,290
F. Guidolin,289
