Manager,Ranking
Z. Zidane,17448
Luis Enrique,14498
D. Simeone,14115
M. Allegri,11625
Leonardo Jardim,11155
C. Ancelotti,11098
M. Gallardo,9910
José Mourinho,9753
J. Sampaoli,9678
Paulo Fonseca,9614
R. Rueda,9611
E. Berizzo,9514
Ricardo Ferretti,9495
T. Tuchel,9308
D. Aguirre,9249
Dorival Júnior,8987
L. Spalletti,8973
Kang-Hee Choi,8944
Zé Ricardo,8495
Fran Escribá,8327
M. Sarri,8275
Guardiola,8262
Ernesto Valverde,8254
D. Alonso,8084
Paulo Autuori,8070
M. Pochettino,7882
A. Wenger,7877
Cuca,7875
Unai Emery,7766
Rui Vitória,7424
A. Conte,7363
M. Weinzierl,7334
P. Bosz,7276
N. Vivas,7055
Guillermo Barros Schelotto,6984
Eusebio Sacristán,6880
M. Pellegrino,6878
Sun-Hong Hwang,6794
Sun-Hong Hwang,6794
B. Génésio,6723
Nuno Espírito Santo,6559
Jair Ventura,6513
S. Solbakken,6361
R. Weiler,6334
Marcelo Oliveira,6310
Yong-Soo Choi,6269
Mendilibar,6049
J. Falcioni,6036
Paulo Sousa,6013
D. Osella,5986
Jung-Won Seo,5931
G. Alfaro,5732
S. Güneş,5655
P. Montero,5611
Mano Menezes,5606
M. Herrera,5599
R. Hasenhüttl,5582
Quique Sánchez Flores,5500
S. Inzaghi,5471
S. Rebrov,5392
M. Lucescu,5309
J. Klopp,5258
Sung-Hwan Cho,5258
Roger Machado,5227
Luiz Felipe Scolari,5207
Eduardo Baptista,5166
J. Nagelsmann,5164
F. Palencia,5087
Thomas Christiansen,5082
Renato Gaúcho,5065
H. Vanhaezebrouck,5042
Caio Júnior,4930
N. Kovač,4899
M. Almeyda,4824
Paulo Bento,4784
B. Barak,4776
D. Advocaat,4754
F. Kudelka,4615
D. Hecking,4603
A. Mohamed,4602
Jorge Jesus,4525
G. Gasperini,4517
P. Lavallén,4502
G. Dermendzhiev,4468
Do-Hoon Kim,4454
V. Ivić,4453
Sang-Rae Noh,4450
V. Montella,4425
Jung-Hwan Yoon,4421
R. Díaz,4420
R. Cristante,4405
E. Di Francesco,4404
L. Favre,4402
Sabri Al Menyawi,4389
Vágner Mancini,4380
Ó. Pareja,4375
Mohamed Helmi,4335
R. Koeman,4290
Quique Setién,4285
A. Holan,4267
P. Dárdai,4261
C. Galtier,4223
I. Shalimov,4217
Oswaldo de Oliveira,4180
I. Daniliants,4177
Pedro Martins,4165
J. Llop,4116
A. Sosa,4095
B. Rodgers,4093
P. Stöger,4088
C. Gross,4075
G. van Bronckhorst,4075
C. Puel,4067
G. Costas,4011
C. Streich,3999
J. Torrente,3992
M. Carrera,3981
Mohamed Youssef,3980
Levir Culpi,3959
M. Schmidt,3958
M. Şumudică,3957
L. Bernardi,3906
M. Ishii,3895
Ricardo Gomes,3872
Hossam El Badry,3868
Óscar García,3865
Ki-Il Nam,3862
Argel Fucks,3828
P. Mosimane,3806
J. Cruz,3767
E. Domínguez,3742
A. Nouri,3742
R. La Volpe,3732
J. van den Brom,3714
Voro,3638
L. Reghecampf,3629
R. Schmidt,3614
C. Robinson,3570
J. Gourvennec,3564
D. Cocca,3563
G. van der Lem,3554
G. Milito,3526
P. Maes,3523
V. Goncharenko,3495
M. Lasarte,3469
Carpegiani,3455
Carpegiani,3455
Asier Garitano,3450
A. Hütter,3449
M. Gisdol,3445
Fernando Jubero,3431
S. Beccacece,3424
R. Pivarník,3402
C. Ranieri,3375
R. Forestello,3369
Y. Semin,3365
U. Fischer,3338
M. Petrović,3323
J. de la Torre,3286
D. Stojković,3286
S. Mihajlović,3278
Hossam Hassan,3274
C. Watson,3249
G. Florentín,3196
Y. Vernydub,3192
M. Akcay,3190
S. Pioli,3184
E. Coudet,3181
M. Giampaolo,3142
Moamen Soliman,3132
S. Bilić,3126
O. De Felippe,3118
P. Cocu,3100
T. Pulis,3058
J. Marsch,3053
K. Ingebrigtsen,3050
F. Dury,3013
A. Kombouare,2998
Imanol Idiakez,2996
J. Azconzábal,2994
E. Howe,2990
M. Hughes,2978
T. Fink,2947
T. Fink,2947
A. Mansourian,2935
A. Avci,2925
S. Moulin,2924
Ismail Youssef,2911
Mohamed Gamal,2910
Mohamed Gamal,2910
A. Zorniger,2904
R. Rakhimov,2898
M. Rastelli,2887
M. Božović,2875
S. Méndez,2869
R. Zielinski,2868
B. Ivanković,2849
E. González,2842
S. Dyche,2840
N. Lalatović,2836
Z. Mamić,2818
André Villas-Boas,2794
M. Preud'homme,2786
S. Arveladze,2783
Mohamed Abdul Samie,2734
G. Hagi,2729
D. Mikhailenko,2723
A. Gamero,2720
M. Nikolic,2716
M. Nikolić,2716
J. Šilhavý,2698
R. Donadoni,2690
A. Schubert,2686
Mokhtar Mokhtar,2686
Jorge Simão,2680
V. Sachko,2674
W. Mazzarri,2657
J. Sierra,2652
R. Sanzhar,2639
Víctor Sánchez,2637
Jin-Ho Cho,2624
Emad Soliman,2624
L. Madelón,2620
G. Álvarez,2619
E. ten Hag,2615
Gregorio Manzano,2600
Daniel Ramos,2591
F. Magath,2583
S. Eriksson,2581
F. Torres,2574
C. Porter,2572
P. Repetto,2568
Cristóvão Borges,2567
J. Trpišovský,2551
L. Ramos,2535
H. Fraser,2493
Deok-Je Cho,2491
M. Walpurgis,2490
Lito Vidigal,2488
D. McInnes,2481
L. Delneri,2480
A. Tarkhanov,2478
C. Gourcuff,2463
R. Garcia,2450
J. Thorup,2435
G. Hernández,2425
F. Mazzù,2418
G. Machado,2411
K. Hasegawa,2404
A. Janković,2395
Celso Roth,2394
J. Magiera,2380
A. Guľa,2377
F. Quiroz,2372
A. Grelak,2370
A. Stuivenberg,2352
H. Medford,2341
O. Babych,2335
V. Sharan,2334
L. Slutsky,2331
V. Miriuță,2324
J. Gustafsson,2311
G. Vanney,2279
M. Yepes,2274
E. Acevedo,2274
P. Hinschberger,2267
P. Troglio,2246
H. Martínez,2231
Osama Orabi,2229
J. Toshack,2227
M. Jol,2214
G. Mulţescu,2199
José Peseiro,2176
Gaizka Garitano,2172
P. Correa,2160
A. Ghalenoei,2158
S. Pourmousavi,2151
D. Belmadi,2135
Z. Dalic,2132
Jin-Cheul Choi,2125
