Manager,Ranking
J. Klopp,14695
M. Gallardo,11425
Jorge Jesus,11037
M. Sarri,11025
Ernesto Valverde,10638
Guardiola,10390
Renato Gaúcho,10366
T. Tuchel,9495
D. Simeone,9032
Z. Zidane,8949
R. Lucescu,8751
E. ten Hag,8164
P. Bosz,8083
F. Cannavaro,8074
Ricardo Ferretti,8036
J. Nagelsmann,8016
G. Gasperini,7928
José Bordalás,7881
Tiago Nunes,7838
I. Ambriz,7727
Vítor Pereira,7706
Rui Vitória,7554
Imanol Alguacil,7427
M. Herrera,7345
G. Alfaro,7317
Nuno Espírito Santo,7311
L. Favre,7276
O. Solskjær,7151
S. Inzaghi,6846
A. Hütter,6714
José Morais,6674
Paulo Fonseca,6565
Bruno Lage,6562
Odair Hellmann,6541
Li Xiaopeng,6492
Luiz Felipe Scolari,6439
C. Ancelotti,6380
P. Clement,6379
S. Semak,6351
Kim Do-Hoon,6300
G. Oiwa,6249
Sérgio Conceição,6206
Gaizka Garitano,6139
J. Sampaoli,6138
A. Conte,6063
Pedro Martins,5997
Mano Menezes,5979
Unai Emery,5882
Lopetegui,5863
F. Lampard,5829
M. Rose,5820
P. Mosimane,5776
G. Vázquez,5714
H. Flick,5695
L. Zubeldía,5669
Celades,5661
S. Gerrard,5597
Rodrigo Santana,5591
N. Lennon,5551
G. Almada,5447
O. Glasner,5445
Javi Calleja,5396
M. Koller,5366
D. Dabove,5364
H. Jofuku,5306
Roger Machado,5249
N. Kovač,5190
B. Rodgers,5188
F. de Boer,5184
J. Thorup,5184
Fábio Carille,5174
Luís Castro,5165
Rubí,5049
R. Garcia,4964
Vanderlei Luxemburgo,4910
Y. Semin,4906
U. Rösler,4880
G. Heinze,4872
D. Petrescu,4858
V. Ismaël,4836
D. Cocca,4829
J. Stéphan,4815
Diego Martínez,4803
S. Beccacece,4761
S. Solbakken,4737
Rogério Ceni,4727
L. Pusineri,4716
A. Postecoglou,4655
D. Alonso,4643
D. Garnero,4640
G. Coleoni,4572
Fernando Diniz,4561
Paco López,4554
M. Russo,4508
C. Olăroiu,4500
R. Schmidt,4462
B. Bradley,4457
André Gaspar,4423
M. Vucetich,4375
T. Oniki,4313
O. Buruk,4300
A. Gamero,4281
M. Chaabani,4272
C. Galtier,4207
K. Hasegawa,4197
Choi Kang-Hee,4185
T. Fink,4170
M. Pochettino,4161
R. Hodgson,4146
E. Coudet,4140
Marcelino,4109
A. Mohamed,4108
J. Sierra,4065
Sergio,4059
Choi Yong-Soo,4040
P. Guede,4018
R. Siboldi,4007
P. Lavallén,3996
V. Goncharenko,3964
G. Milito,3948
Péricles Chamusca,3907
Lim-Saeng Lee,3899
A. Slot,3893
C. Wilder,3883
F. Kudelka,3876
Mendilibar,3861
S. Mihajlović,3818
W. Mazzarri,3817
S. Dyche,3781
S. Rondina,3765
A. Medina,3764
L. Bölöni,3763
Lotina,3745
Choi Soon-Ho,3725
R. Zielinski,3707
M. Preud'homme,3692
J. Comesaña,3687
F. Terim,3647
T. Laurey,3627
J. Marsch,3610
Sá Pinto,3587
Quique Setién,3556
R. Weiler,3546
A. Heath,3516
Wang Baoshan,3510
L. Madelón,3507
M. Soso,3504
Domènec Torrent,3449
Ivo Vieira,3447
A. Bobadilla,3446
H. Rivera,3443
C. Gross,3428
Li Tie,3420
U. Stielike,3420
G. Gattuso,3420
M. van Bommel,3407
M. Palermo,3392
Míchel,3392
Kim Tae-Wan,3338
J. Osorio,3334
Ney Franco,3332
B. Schmetzer,3295
A. Guimarães,3277
M. Ramírez,3272
T. Ōtsuki,3246
B. Génésio,3224
André Villas-Boas,3220
V. Karpin,3193
G. Savarese,3187
D. Wagner,3186
J. Trpišovský,3171
Arrasate,3168
Byung-Soo Kim,3163
M. Musaev,3151
J. Cruijff,3150
S. Bruce,3147
C. Streich,3138
F. Kohfeldt,3121
Marcão,3119
R. De Zerbi,3086
R. D'Aversa,3080
J. Chamot,3075
Asier Garitano,3069
D. Parfenov,3059
Abel Braga,3054
D. Guion,3054
Rafael Benítez,3038
M. Der Zakarian,3029
G. Seoane,3010
Ó. Pareja,3000
B. Hasi,2976
C. Ranieri,2960
R. Hasenhüttl,2956
L. Cufré,2947
Nam Ki-Il,2881
U. Fischer,2873
R. Maran,2866
G. Caballero,2857
J. Pinto,2850
Cuca,2844
I. Cherevchenko,2836
G. Vanney,2822
C. Torres,2813
E. Moe,2813
M. Sciacqua,2812
V. Fedotov,2804
P. Vieira,2803
E. Horneland,2769
K. Belhocine,2768
S. Pioli,2748
T. Miyamoto,2744
G. Costas,2741
Jong-Boo Kim,2738
O. Mykhaylychenko,2738
J. Curtin,2715
D. Stojković,2700
S. Moulin,2690
A. Schreuder,2685
L. Tena,2678
H. Bodhert,2661
José Mourinho,2660
K. Mihayo,2655
Abel Ferreira,2637
Ü. Karaman,2636
D. Advocaat,2632
Eduardo Barroca,2611
M. Schmidt,2599
J. Reynoso,2589
P. Vrba,2583
A. García,2557
T. Katanosaka,2556
J. Kozák,2547
E. Middendorp,2545
O. Ryabokon,2538
E. Tinkler,2537
Khaled Al Atawi,2524
M. Petrović,2509
B. Olsen,2497
E. Howe,2482
Vicente Moreno,2475
Fran Escribá,2475
E. Yanal,2466
L. Gonzalez,2452
M. Lasarte,2450
M. Almeyda,2443
J. Falcioni,2437
D. Maradona,2436
V. Sharan,2421
Guillermo Barros Schelotto,2420
R. La Volpe,2410
R. Norling,2406
P. Carteron,2395
P. Repetto,2387
C. Armas,2380
Emad El Nahhas,2348
Y. Shinoda,2341
S. Watanabe,2320
Fernando Jubero,2312
V. Skripnik,2309
O. Kononov,2304
João Pedro Sousa,2300
Paulo Sousa,2298
A. Chebbi,2298
G. Hagi,2297
M. Pellegrini,2296
G. Potter,2290
I. Juric,2280
Argel Fucks,2275
G. Hunt,2273
D. Kühbauer,2260
D. Carreño,2260
R. Díaz,2258
A. Vukovic,2256
Xie Feng,2250
Kim Myung Hwi,2248
E. Bulut,2241
V. Milojević,2232
Pedro Caixinha,2231
D. López,2214
C. Puel,2204
R. Deila,2192
J. Gustafsson,2191
Marco Silva,2184
S. Avgousti,2178
Pedro Emanuel,2166
J. O'Connor,2166
S. Matveev,2162
O. Dall’Oglio,2156
Xavi,2149
F. Funkel,2130
S. Milošević,2115
Alberto Valentim,2113
S. Corica,2108
R. Çalımbay,2107
S. Komphela,2107
B. Ivanković,2106
J. Weber,2102
Vítor Campelos,2100
J. Almirón,2092
M. Şumudică,2086
W. Vrancken,2083
Abelardo,2068
K. Bergstrand,2066
A. Ghalenoei,2065
S. Billborn,2035
I. Tudor,2032
W. Fornalik,2030
L. Semplici,2028
S. Yalçın,2026
B. Blaquart,2020
V. Paunovic,2019
C. Gourcuff,2016
Á. Gutiérrez,2012
D. McInnes,2010
J. van den Brom,2001
F. Dury,1998
P. Vermes,1991
D. Corredor,1986
H. ten Cate,1984
H. Sierra,1981
K. Tembo,1980
J. Sellami,1972
Yoo Sang-Chul,1966
A. Sosa,1964
C. Porter,1959
D. Nielsen,1958
R. Rangnick,1958
B. Arena,1948
Pizzi,1944
H. Torres,1934
Leonel Pontes,1926
M. Petke,1923
M. Gisdol,1917
Talaat Youssef,1916
David Gallego,1907
Leonardo Jardim,1905
H. Crespo,1897
João Henriques,1885
H. Berg,1883
D. Farke,1880
S. Jobard,1876
P. Rada,1871
Enderson Moreira,1869
Y. Vanderhaeghe,1869
P. Hyballa,1866
O. Babych,1864
E. Iordănescu,1857
Paulo Sérgio,1853
Mokhtar Mokhtar,1852
O. Da Gama,1847
A. Beierlorzer,1841
M. Dos Santos,1832
Jesualdo Ferreira,1831
D. Kerkez,1828
J. Grindhaug,1826
T. Doll,1825
Carlos Carvalhal,1811
Lito Vidigal,1808
Jorge Simão,1806
J. Aguirre,1782
F. Liverani,1781
A. Mansourian,1777
G. Donis,1770
D. Fagermo,1768
A. Alm,1755
B. Berntsen,1752
N. Bjelica,1737
S. Rebrov,1735
A. Koster,1733
P. Pezzolano,1728
M. Probierz,1727
T. Tuna,1719
G. Quinteros,1714
L. Seema,1704
W. Cabrera,1700
Y. Sorimachi,1696
M. Svědík,1695
K. Knutsen,1689
A. Avci,1670
S. Schwarz,1669
T. Thomasberg,1668
F. Vercauteren,1655
P. Zeidler,1653
Quique Sánchez Flores,1653
M. Keizer,1652
Pepa,1650
N. Zekri,1637
Zé Ricardo,1625
G. Sanguinetti,1618
D. Buijs,1618
Choi Yun-Kyum,1615
B. Akrapović,1610
J. Stam,1607
P. Stokowiec,1606
M. Teja,1595
V. Jílek,1590
Marquinhos Santos,1584
Óscar García,1584
Joaquín Caparrós,1584
L. Slutsky,1570
Cho Kwi-Jea,1568
D. Smith,1553
G. Hoyos,1550
Imanol Idiakez,1550
D. Monarriz,1550
B. Hollerbach,1548
M. Božović,1543
L. Elsner,1540
Y. Golmohammadi,1532
F. Wormuth,1529
G. Struber,1528
D. Isăilă,1528
R. Látal,1528
G. Calderón,1525
T. Ketsbaia,1525
Arteta,1517
D. Lukkien,1514
Ricardo Chéu,1513
F. Torres,1511
R. Rakhimov,1511
P. Asbaghi,1501
Hossam Hassan,1492
V. Lavička,1491
N. El Maestro,1481
Emanuel Ferro,1479
