Manager,Ranking
M. Kek,1923
R. Schmidt,1911
L. Nilsen,1898
T. Shimotaira,1898
F. Stoican,1893
T. Fink,1886
S. Stoilov,1886
F. Torres,1849
Carlos Carvalhal,1845
J. Cruz,1843
Óscar García,1841
C. Ancelotti,1829
D. Carreño,1823
G. Poyet,1810
V. Jílek,1806
José Couceiro,1804
A. Mendoza,1800
D. Khokhlov,1792
O. Melkemichel,1783
O. Solskjær,1783
K. Hjulmand,1783
M. Đukić,1781
W. Mazzarri,1775
E. Acevedo,1775
Pedro Caixinha,1774
D. Nielsen,1767
G. De Boeck,1764
M. Panait,1756
Nuno Santos,1755
J. Garcia,1749
N. Vivas,1749
W. Coyette,1747
R. Caruso Lombardi,1747
Maurício Barbieri,1745
H. ten Cate,1744
M. Ouzounidis,1743
Vinícius Eutrópio,1737
I. Mamrot,1735
F. Pecchia,1707
Marco Silva,1707
P. Vermes,1703
L. Tena,1697
J. Gasset,1696
G. Quinteros,1691
V. Tănase,1691
Quim Machado,1690
M. Sciacqua,1684
İ. Buz,1680
D. Fagermo,1678
R. Mosquera,1661
H. Wolf,1660
G. Bakke,1659
Z. Mamić,1658
N. Lennon,1657
Gregorio Manzano,1640
L. Bölöni,1630
J. Gustafsson,1624
G. Álvarez,1621
M. Soso,1621
A. Ghalenoei,1617
M. Brosz,1614
A. Groenendijk,1599
H. Marecos,1598
E. Horneland,1592
S. Robinson,1591
D. Canadi,1583
S. Ruthenbeck,1577
C. Pustai,1575
F. Foda,1572
M. Schneider,1571
W. Zenga,1570
B. Páník,1569
A. Čustović,1568
M. Hašek,1568
A. Erlandsen,1567
Pachequinho,1566
G. Martino,1558
G. Contini,1558
Ó. Pareja,1558
G. Pelusso,1556
Noh Sang-Rae,1556
C. Niculescu,1555
J. Streppel,1555
J. Sanguinetti,1551
J. van 't Schip,1539
H. Cárdenas,1523
T. Skullerud,1519
P. Vieira,1513
L. Hadjiloukas,1506
B. Bandović,1502
S. Rondina,1498
M. Gisdol,1494
G. Gadzhiev,1494
José Mota,1490
J. Hynek,1489
L. Ojrzynski,1489
D. Šmejkal,1489
G. Berhalter,1488
H. Nanami,1484
O. Glasner,1482
O. Dulub,1480
M. Keizer,1476
R. Deila,1473
P. Rada,1472
R. Bordin,1467
J. da Silva,1456
Juanma Lillo,1451
A. Guľa,1449
S. Belchev,1442
J. Gourvennec,1437
V. Skripchenko,1435
R. De Zerbi,1434
M. Oddo,1434
A. Yermakovich,1428
J. Brzęczek,1425
C. Robinson,1419
M. Stahre,1411
M. Grigoriou,1402
N. Hrnčár,1396
P. Dupraz,1396
S. Poursaitidis,1395
Elano,1392
G. Baumgartner,1390
N. Kirov,1389
F. Magath,1384
S. Clarke,1383
K. Schmidt,1382
G. Murty,1380
L. Kuchuk,1376
V. Paunovic,1353
Jong-Boo Kim,1342
Ü. Özat,1341
Y. Virt,1338
J. Stegeman,1333
T. Thomasberg,1329
C. Nørgaard,1329
G. Vázquez,1327
W. Cabrera,1325
D. Milanič,1322
E. Faber,1316
Emerson Cris,1313
Chang Woe-Ryong,1311
Jorginho,1305
C. Michelsen,1302
M. Probierz,1300
A. Stramaccioni,1296
Fran Escribá,1290
M. Lasarte,1286
E. Merrick,1283
O. Babych,1281
Daniel Paulista,1277
J. Rodríguez,1277
J. Magiera,1273
N. El Maestro,1273
M. Rastavac,1272
M. van der Gaag,1269
Joan Carrillo,1268
M. Özdilek,1256
F. Sava,1248
Pablo Caballero,1247
Javi Gracia,1245
S. Pantelidis,1244
P. Maes,1232
Ivo Vieira,1230
M. Petrović,1229
G. Lettieri,1225
F. Hantz,1219
M. Petke,1218
M. Wieghorst,1214
I. Daja,1213
T. Wright,1212
D. Nicola,1211
R. Koeman,1197
P. Peirano,1190
K. Nielsen,1187
E. Neagoe,1180
Pepe Mel,1176
C. Seedorf,1176
Míchel,1176
P. Stokowiec,1175
Q. Qurbanov,1169
U. Forte,1158
B. Hasi,1157
F. Capello,1153
M. Rednic,1152
F. Celestini,1149
N. Bergstrand,1147
G. Florentín,1140
P. Mosimane,1133
B. Uygun,1131
S. Pena,1123
P. Sørensen,1117
J. Cedergren,1116
J. De Roeck,1114
N. Mitov,1110
I. Popa,1109
Guto Ferreira,1107
J. Curtin,1103
K. Hasegawa,1102
Choi Yun-Kyum,1098
R. Molenaar,1095
W. Joyce,1092
E. Baumeister,1092
J. Real,1090
M. Rossi,1088
S. Valakari,1085
M. Steijn,1081
A. Jonker,1080
S. Damianou,1080
L. González,1080
S. Vreven,1079
M. Bakkal,1076
O. Kononov,1075
E. Almeida,1070
M. Babbel,1070
S. Watanabe,1067
P. Clement,1064
Jesualdo Ferreira,1063
Z. Zekić,1058
Z. Zagorčić,1054
E. Mombaerts,1052
N. Kostov,1048
Preto Casagrande,1044
Kyung-Seob Song,1037
Petit,1037
M. Numba,1034
A. Stuivenberg,1034
Luis Enrique,1029
P. Put,1026
B. Henriksen,1015
C. Galtier,1007
H. Velud,1006
V. Miriuță,1001
C. Olăroiu,992
M. Ficcadenti,989
G. Matosas,988
I. Vukomanović,982
Y. Abukasis,982
J. Weber,981
Z. Klucký,979
Talaat Youssef,977
Domingos Paciência,974
F. Benzarti,970
E. van de Looi,968
N. McCann,964
J. Anigo,960
G. Petrakis,959
M. Ševela,959
Rogério Ceni,957
M. Bielsa,954
S. Pressley,945
J. Jönsson,942
C. Gourcuff,942
M. Kordula,941
S. Mimer,939
W. Otta,935
C. Kaiafas,930
K. Bergstrand,930
K. Jurčić,928
José González,925
J. Urban,925
J. de Jong,921
G. Hoyos,920
H. Vogel,920
G. Sedloski,918
J. Kreis,902
A. Tomash,899
J. Michelsen,899
Toni Ordinas,899
B. Ben Zaken,891
M. Canning,890
L. Delneri,885
A. Heath,885
D. Cagna,879
T. Lemonis,876
H. Jofuku,876
J. Peláez,874
J. Aloisi,874
M. Kurz,873
F. Quiroz,873
Silas,871
Alexandre Gallo,870
M. Jara,862
H. Hamzaoğlu,861
D. Uhrin,859
J. Bodmer,858
M. Yakin,857
Rogério Micale,853
D. Rossi,852
B. Tennes,846
S. Sušić,845
C. Porter,841
M. Svědík,839
Odair Hellmann,837
V. Evseev,836
K. Runjaic,825
A. Archibald,817
O. Sevidov,816
J. Lozano,812
A. Poddubsky,807
M. Rastelli,802
Lito Vidigal,796
N. Beyaoui,795
K. Lowe,792
N. Otero,792
J. Thelin,791
A. Miklyaev,784
P. Lambert,784
M. Nikolić,782
Kiko Ramírez,775
G. Dermendzhiev,771
J. Brown,769
C. Lønstrup,764
D. Advocaat,757
I. Iliev,756
N. Milovanović,751
C. Bucchi,751
I. Petev,750
A. Arias,748
M. Messera,748
B. Labbadia,747
R. Pivarník,746
S. Rožman,745
A. Kjäll,744
J. Gómez,740
J. de la Torre,738
J. Luna,737
G. Espinoza,737
D. Moore,735
M. Ješić,729
H. Medford,720
José Peseiro,718
K. Bidzhiyev,717
I. Ledyakhov,717
V. Karpin,717
L. Bohinen,713
M. Haglund,713
S. Bilić,712
P. Tramezzani,710
T. Pulis,710
H. Pfeifenberger,702
Nam Ki-Il,702
S. Drapić,702
V. Cheburin,698
M. Laudrup,696
J. de la Pava,693
I. Fintanis,692
J. Chávez,690
C. Michael,690
C. Jara Saguier,688
Joaquín Caparrós,686
A. Julio,684
S. Billborn,682
M. Akçay,679
A. Apud,677
G. Paraschos,677
C. Makélélé,676
Kim Hak-Beom,671
Yoo Sang-Chul,671
C. Contra,669
A. Ilić,663
T. Fredriksen,651
E. Bakke,651
W. Fornalik,650
Y. Petrov,649
N. Klinger,648
A. Pelici,644
M. Biello,636
S. Masala,635
Luis García,633
Paulo Bonamigo,630
P. Hapal,628
W. Perazzo,624
T. Tuchel,623
A. Šoltís,621
I. Burchnall,620
S. Yomoda,616
P. Tiscornia,608
I. Juric,605
J. Heaps,605
B. Olsen,603
M. Jacobacci,603
J. Soto,600
L. Elsner,600
J. Álvarez,600
P. Repetto,600
Y. Kalitvintsev,598
M. Radukanov,596
Ricardo Gomes,596
F. Maturana,594
Rafael García,591
Ó. Ibáñez,585
R. Weiler,580
Paulo Bento,580
C. Farías,578
J. Bernal,577
P. Marini,575
M. Bartoszek,575
J. Azconzábal,574
P. Christodoulou,570
F. Arce,568
A. Pardew,568
H. Silbas,567
H. Karaman,567
T. Dellas,566
I. Galád,564
Park Tae-Ha,562
F. Berscé,561
E. Sağlam,558
G. Verbeek,557
F. Ortiz,556
João Brigatti,546
O. Vasilenko,545
C. Gross,543
Rubén Uría,539
Enderson Moreira,534
Bandar Basryh,530
Pedro Emanuel,528
Miguel Leal,528
I. Krulj,527
S. Maalen,527
S. Saja,527
A. Stanojević,526
C. Watson,525
A. Daei,525
R. Da Silva,524
K. Frolov,524
R. Romano,516
J. Torrente,516
Vasco Seabra,516
N. Lalatović,513
Neider dos Santos,512
J. Giacone,510
D. Holoubek,510
J. Jarábek,508
M. Pavani,507
Wagner Lopes,506
M. Ishii,505
R. Mroczkowski,500
D. Wdowczyk,500
V. Voynov,500
C. Bassedas,499
C. Shakespeare,497
D. Unsworth,497
M. Jolley,496
A. Axén,496
D. Umaña,495
C. Onalfo,493
M. Koretski,486
S. Kobayashi,484
Doriva,482
B. Luzi,476
T. Pawłowski,475
P. Nowak,475
P. Vuorinen,473
D. Gavilán,471
Leonardo,471
R. Kučera,470
S. Zaytsev,465
C. Gâlcă,463
D. Kalezić,463
Sérgio Vieira,462
B. Bradley,462
A. Pastoor,458
J. Zielinski,450
A. Pobegalov,448
G. Mulţescu,447
R. Robbemond,444
F. Palencia,442
Á. Galindo,442
E. Yanal,441
Y. Anastasiou,438
M. Baciu,429
A. Mansourian,428
Juan Gallardo,425
P. Donev,423
I. Chavos,423
R. Berdyev,422
O. Coyle,421
M. Tartar,420
A. Nouri,415
U. Fischer,413
J. Giordano,412
E. Sturing,412
E. Melikyan,408
P. Winqvist,404
T. Takagi,403
P. Mastroeni,403
H. Lisi,399
Jordi Condom,398
Sami Al Jaber,398
Nelsinho Baptista,397
S. Schmid,397
M. Fabuľa,396
Y. Shinoda,396
T. Yoshida,396
G. Riddersholm,396
L. Louka,396
T. Caanen,396
A. Ito,396
D. Suciu,393
I. Kopecký,393
S. Vecchi,392
Rubí,392
Cristian de Souza,392
D. Bortoluzzi,392
L. López,392
N. Panayiotou,390
José Vala,386
E. Marcucci,385
Beñat San José,384
Paulo Autuori,384
G. Ivanov,380
F. Ibenge,376
C. Díaz,375
K. Moskal,375
L. Martini,374
D. Osella,374
R. Armando,374
L. Benítez,374
S. Baumgart,373
L. Chitembwe,372
P. Asbaghi,372
S. Yalçın,369
M. Diyadin,368
Z. Svanadze,368
Ó. Kristjánsson,367
J. Hernández,363
Ricardo Soares,362
M. Víquez,360
I. Daniliants,360
G. Sanguinetti,360
R. Rakhimov,360
M. Lucescu,360
D. van Wijk,358
Cho Kwi-Jea,356
G. Savarese,354
P. Okon,353
Sergio Navarro,349
A. Alm,341
V. Cifranič,340
T. Letsch,338
F. Karimi,336
A. Postecoglou,333
Chu Chi Kwong,333
Augusto Inácio,332
Č. Janevski,327
N. Bernal,326
M. Milanović,325
R. Moniz,325
L. Grozavu,322
Y. Ferrera,319
P. Cook,319
B. Schuster,317
D. Kinnear,316
M. Jalali,315
W. Gutiérrez,315
V. Petržela,314
L. Reghecampf,311
G. Matzourakis,310
J. Strasser,310
Manuel Machado,307
T. Popović,307
Son Hyun-Joon,305
S. Gurenko,303
G. Schürrer,300
M. Salas,300
G. Christopoulos,300
Ó. Pérez,298
F. Castro,297
N. Kouki,297
F. Rutten,297
J. Cardozo,295
G. Hunt,294
Jaime Pérez,294
Iñaki Bea,294
J. Sampaoli,294
M. Mohajeri,294
D. Vukićević,292
G. Machado,286
J. Antúnez,285
R. Martínez,285
M. Cvitanović,283
T. Silva,280
R. Vrabec,280
A. Janković,278
Park Kyung-Hoon,275
I. Stolica,275
