diff_past_results,diff_past_goals,result,home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_past_possession,home_team_past_shots,home_team_past_shots_on_goal,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_past_possession,away_team_past_shots,away_team_past_shots_on_goal,away_team_streak,away_team_best_perf,home_goalkeeper,away_goalkeeper,home_manager_overall,away_manager_overall,home_players_overall_mean,away_players_overall_mean,home_players_defense_mean,away_players_defense_mean,home_players_midfield_mean,away_players_midfield_mean,home_players_attack_mean,away_players_attack_mean,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_manager,diff_players_overall,diff_players_defense,diff_players_midfield,diff_players_attack,diff_goalkeepers,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_past_possession,diff_team_past_shots,diff_team_past_shots_on_goal,diff_team_streak,diff_team_best_perf
5,9,away_win,84.0,80.0,81.0,81.0,71.66666666666667,34.0,10,59.62280701754386,17.333333333333332,6.06140350877193,10,20,81.0,79.0,80.0,80.0,69.0,30.333333333333332,10,56.89473684210526,17.19298245614035,5.421052631578948,10,19,80,85,10195.0,6036.0,79.5,79.3,64.34285714285714,71.55714285714285,71.41,69.9,66.51818181818183,64.82727272727273,3.0,1.0,1.0,1.0,4159.0,0.20000000000000284,-7.214285714285708,1.509999999999991,1.690909090909102,-5,2.6666666666666714,3.666666666666668,0,2.728070175438603,0.1403508771929829,0.640350877192982,0,1
5,10,home_win,76.0,75.0,75.0,76.0,58.0,2.6666666666666665,10,47.10526315789474,12.93859649122807,4.228070175438597,10,15,74.0,75.0,73.0,74.0,43.25,-17.5,11,44.79824561403509,12.37719298245614,3.8859649122807016,10,15,82,67,4150.0,3200.0,72.0,73.3,63.91428571428571,64.8,61.370000000000005,63.94,61.209090909090904,61.263636363636365,2.0,0.0,2.0,2.0,950.0,-1.2999999999999972,-0.8857142857142861,-2.569999999999993,-0.05454545454546178,15,14.75,20.166666666666668,-1,2.3070175438596507,0.5614035087719298,0.34210526315789513,0,0
0,0,away_win,69.0,76.0,77.0,76.0,59.333333333333336,11.666666666666666,10,51.28947368421053,14.605263157894736,4.771929824561403,10,17,79.0,76.0,75.0,75.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,80,76,5300.0,1600.0,76.0,68.7,70.29999999999998,65.3015873015873,68.59,61.01111111111111,63.85454545454545,53.27272727272728,-10.0,0.0,2.0,1.0,3700.0,7.299999999999997,4.998412698412679,7.578888888888891,10.581818181818171,4,59.333333333333336,80.66666666666667,10,51.28947368421053,14.605263157894736,4.771929824561403,10,17
0,0,draw,74.0,73.0,71.0,73.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,71.0,71.0,73.0,72.0,41.0,-24.666666666666668,6,49.64035087719298,14.526315789473685,4.447368421052632,6,11,81,77,1400.0,1129.0,72.1,71.6,62.828571428571436,66.7,66.28,63.980000000000004,57.31818181818181,57.89999999999999,3.0,2.0,-2.0,1.0,271.0,0.5,-3.8714285714285666,2.299999999999997,-0.5818181818181785,4,-41.0,-44.33333333333333,-6,-49.64035087719298,-14.526315789473685,-4.447368421052632,-6,-11
5,15,home_win,84.0,81.0,82.0,82.0,80.0,50.333333333333336,10,59.85964912280702,20.842105263157894,6.842105263157895,10,20,76.0,73.0,72.0,73.0,39.5,-23.0,5,49.31578947368421,15.210526315789474,4.592105263157895,1,10,74,78,10896.0,4324.0,80.9,72.9,68.6825396825397,67.18571428571428,71.02222222222221,65.17999999999999,68.76767676767678,62.45454545454545,8.0,8.0,10.0,9.0,6572.0,8.0,1.4968253968254146,5.842222222222219,6.313131313131322,-4,40.5,73.33333333333334,5,10.543859649122808,5.6315789473684195,2.25,9,10
0,0,draw,74.0,71.0,69.0,71.0,0.0,-69.0,1,0.0,0.0,0.0,0,2,76.0,75.0,75.0,76.0,46.0,-11.0,3,38.75438596491228,10.947368421052632,3.1228070175438596,3,10,74,76,1600.0,7271.0,68.5,76.4,61.79999999999999,68.82857142857144,59.00999999999999,64.99000000000001,53.91818181818182,61.290909090909096,-2.0,-4.0,-6.0,-5.0,-5671.0,-7.900000000000006,-7.028571428571446,-5.980000000000018,-7.372727272727275,-2,-46.0,-58.0,-2,-38.75438596491228,-10.947368421052632,-3.1228070175438596,-3,-8
2,2,home_win,77.0,73.0,73.0,74.0,39.0,-22.0,3,48.93421052631579,11.68421052631579,3.3552631578947367,2,6,80.0,76.0,74.0,76.0,49.333333333333336,1.3333333333333333,10,50.37719298245614,13.342105263157896,4.078947368421052,10,14,77,80,4200.0,2737.0,73.2,75.9,66.68571428571428,66.71428571428571,62.54,65.66,56.24545454545455,61.663636363636364,-3.0,-3.0,-1.0,-2.0,1463.0,-2.700000000000003,-0.028571428571424917,-3.1199999999999974,-5.418181818181814,-3,-10.333333333333336,-23.333333333333332,-7,-1.4429824561403493,-1.6578947368421062,-0.7236842105263155,-8,-8
0,1,away_win,72.0,74.0,72.0,74.0,42.0,-13.666666666666666,10,43.18421052631579,14.175438596491228,4.298245614035087,10,15,83.0,85.0,81.0,83.0,62.666666666666664,21.0,9,52.833333333333336,14.421052631578947,5.026315789473684,9,18,77,83,4100.0,11814.0,74.0,80.8,66.92857142857143,70.45714285714284,63.65999999999999,71.59,58.89090909090909,68.1,-11.0,-11.0,-9.0,-9.0,-7714.0,-6.799999999999997,-3.5285714285714107,-7.930000000000014,-9.209090909090904,-6,-20.666666666666664,-34.666666666666664,1,-9.649122807017548,-0.24561403508771917,-0.7280701754385968,1,-3
8,17,home_win,84.0,83.0,80.0,82.0,85.0,47.666666666666664,10,57.86842105263158,17.789473684210527,5.815789473684211,10,20,82.0,84.0,79.0,81.0,61.0,11.666666666666666,10,52.921052631578945,16.50877192982456,5.2105263157894735,10,17,78,81,14268.0,8592.0,80.0,79.7,66.24285714285713,66.08571428571427,69.63999999999999,69.8,63.236363636363635,65.91818181818182,2.0,-1.0,1.0,1.0,5676.0,0.29999999999999716,0.15714285714285836,-0.1600000000000108,-2.681818181818187,-3,24.0,36.0,0,4.947368421052637,1.2807017543859658,0.6052631578947372,0,3
0,0,draw,76.0,75.0,75.0,76.0,58.0,2.6666666666666665,10,47.10526315789474,12.93859649122807,4.228070175438597,10,15,77.0,73.0,73.0,74.0,39.0,-22.0,3,48.93421052631579,11.68421052631579,3.3552631578947367,2,6,82,77,4150.0,4200.0,73.7,73.2,66.02857142857142,66.68571428571428,62.84000000000001,62.54,62.9181818181818,56.24545454545455,-1.0,2.0,2.0,2.0,-50.0,0.5,-0.6571428571428584,0.30000000000001137,6.672727272727251,5,19.0,24.666666666666668,7,-1.8289473684210478,1.2543859649122808,0.87280701754386,8,9
